product>>brand,product>>categories,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>price,product>>sku,product>>url,product>>variations
Marchesa Notte,Clothing|Luxe|Women|Evening Dresses|Evening Dresses,USD,2018-01-14T21:01:46.577Z,"Marchesa’s sister-line, Marchesa Notte, continues to exhibit the brand’s dedication to show-stopping flourishes, noteworthy attention to detail and feminine glamour. This stunning powder blue dress is from the label’s AW17 pre-collection, inspired by the idea of all-night dance attire. It features a figure-flattering corseted top with a sweetheart neckline, a rear zip fastening, a fitted waist and adjustable shoulder straps. The flared skirt boasts a dramatically curved high-low hemline while the body is adorned with multicoloured embroidered flowers.",https://cdn-images.farfetch-contents.com/12/09/38/34/12093834_10180864_1000.jpg|https://cdn-images.farfetch-contents.com/12/09/38/34/12093834_10180868_1000.jpg|https://cdn-images.farfetch-contents.com/12/09/38/34/12093834_10180872_1000.jpg|https://cdn-images.farfetch-contents.com/12/09/38/34/12093834_10180875_1000.jpg|https://cdn-images.farfetch-contents.com/12/09/38/34/12093834_10180879_1000.jpg,floral embroidered high-low dress,930.75,12093834,https://www.farfetch.com/shopping/women/marchesa-notte-floral-embroidered-high-low-dress-item-12093834.aspx,POWDER BLUE
Marchesa Notte,Clothing|Luxe|Women|Evening Dresses|Evening Dresses,USD,2018-01-14T21:01:49.879Z,"Gold-tone floral embroidered gown from Marchesa Notte featuring a plunging neck, a sleeveless design, a rear zip fastening, a fitted waist and a long length.",https://cdn-images.farfetch-contents.com/12/09/38/29/12093829_10123885_1000.jpg|https://cdn-images.farfetch-contents.com/12/09/38/29/12093829_10123908_1000.jpg|https://cdn-images.farfetch-contents.com/12/09/38/29/12093829_10123930_1000.jpg|https://cdn-images.farfetch-contents.com/12/09/38/29/12093829_10123948_1000.jpg|https://cdn-images.farfetch-contents.com/12/09/38/29/12093829_10123973_1000.jpg,floral embroidered gown,497.5,12093829,https://www.farfetch.com/shopping/women/marchesa-notte-floral-embroidered-gown-item-12093829.aspx,Gold
Marchesa,Clothing|Luxe|Women|Evening Dresses|Evening Dresses,USD,2018-01-14T21:01:52.863Z,"Named after the heiress and muse Marchesa Luisa Casati who was so fabulous she walked her two pet leopards on diamond leashes, Marchesa creates magical pieces for the modern day princess. Nothing to wear to the ball, Cinderella? Don't worry, the fairy tale designs of Keren Craig and Georgina have got you covered. A subtle sweetheart curved neckline, sculpted bodice, embroidered details and full tulle skirt make this dress fit for royalty. Intricate embroidered floral filigree details trail over the corset of the gown into a dropped waist, flowing into the ultimately feminine hazy full tulle skirt. Have your regal moment in a dress that was built for twirling around a dance floor.",https://cdn-images.farfetch-contents.com/11/95/00/02/11950002_9134462_1000.jpg|https://cdn-images.farfetch-contents.com/11/95/00/02/11950002_9134470_1000.jpg|https://cdn-images.farfetch-contents.com/11/95/00/02/11950002_9134480_1000.jpg|https://cdn-images.farfetch-contents.com/11/95/00/02/11950002_9134485_1000.jpg|https://cdn-images.farfetch-contents.com/11/95/00/02/11950002_9134492_1000.jpg,strapless tulle ball gown,10291.33,11950002,https://www.farfetch.com/shopping/women/marchesa-strapless-tulle-ball-gown-item-11950002.aspx,ICE GREY
Marchesa Notte,Clothing|Luxe|Women|Evening Dresses|Evening Dresses,USD,2018-01-14T21:01:55.908Z,"Marchesa’s sister-line, Marchesa Notte, continues to exhibit the brand’s dedication to show-stopping flourishes, noteworthy attention to detail and feminine glamour. This stunning black net dress is from the label’s AW17 pre-collection, inspired by the idea of all-night dance attire. It features a figure-flattering corseted top with a sweetheart neckline, a rear zip fastening, a fitted waist and adjustable shoulder straps. The flared skirt boasts a dramatically curved high-low hemline while the body is adorned with multicoloured embroidered flowers.",https://cdn-images.farfetch-contents.com/12/09/38/35/12093835_10180882_1000.jpg|https://cdn-images.farfetch-contents.com/12/09/38/35/12093835_10180885_1000.jpg|https://cdn-images.farfetch-contents.com/12/09/38/35/12093835_10180886_1000.jpg|https://cdn-images.farfetch-contents.com/12/09/38/35/12093835_10180889_1000.jpg|https://cdn-images.farfetch-contents.com/12/09/38/35/12093835_10180891_1000.jpg,floral embroidered high-low dress,930.75,12093835,https://www.farfetch.com/shopping/women/marchesa-notte-floral-embroidered-high-low-dress-item-12093835.aspx,BLACK
Fenty X Puma,Shoes|Luxe|Women|Sandals|Sandals,USD,2018-01-14T21:01:58.885Z,Bay green furry pool slides from Fenty X Puma.,https://cdn-images.farfetch-contents.com/12/17/14/61/12171461_10266006_1000.jpg|https://cdn-images.farfetch-contents.com/12/17/14/61/12171461_10266007_1000.jpg|https://cdn-images.farfetch-contents.com/12/17/14/61/12171461_10266008_1000.jpg|https://cdn-images.farfetch-contents.com/12/17/14/61/12171461_10266009_1000.jpg,furry pool slides,63,12171461,https://www.farfetch.com/shopping/women/fenty-x-puma-furry-pool-slides-item-12171461.aspx,01 LIGHT GREEN
Amiri,Clothing|Luxe|Women|Skinny Jeans|Skinny Jeans,USD,2018-01-14T21:02:01.971Z,"Light blue cotton blend distressed skinny jeans from Amiri featuring a button and zip fly, a five pocket design, a cropped length, zip cuffs and distressed effects.",https://cdn-images.farfetch-contents.com/12/33/90/24/12339024_11052394_1000.jpg|https://cdn-images.farfetch-contents.com/12/33/90/24/12339024_11052396_1000.jpg|https://cdn-images.farfetch-contents.com/12/33/90/24/12339024_11052388_1000.jpg|https://cdn-images.farfetch-contents.com/12/33/90/24/12339024_11052393_1000.jpg|https://cdn-images.farfetch-contents.com/12/33/90/24/12339024_11052391_1000.jpg,distressed skinny jeans,1710.22,12339024,https://www.farfetch.com/shopping/women/amiri-distressed-skinny-jeans-item-12339024.aspx,DENIM
Simonetta Ravizza,Clothing|Luxe|Women|Fur & Shearling Coats|Fur & Shearling Coats,USD,2018-01-14T21:02:04.990Z,Brown sable and silk panelled fur coat from Simonetta Ravizza.,https://cdn-images.farfetch-contents.com/12/32/12/54/12321254_11393671_1000.jpg|https://cdn-images.farfetch-contents.com/12/32/12/54/12321254_11393674_1000.jpg|https://cdn-images.farfetch-contents.com/12/32/12/54/12321254_11393678_1000.jpg|https://cdn-images.farfetch-contents.com/12/32/12/54/12321254_11393679_1000.jpg|https://cdn-images.farfetch-contents.com/12/32/12/54/12321254_11393684_1000.jpg,panelled fur coat,31756.1,12321254,https://www.farfetch.com/shopping/women/simonetta-ravizza-panelled-fur-coat-item-12321254.aspx,150 BROWN
Marchesa Notte,Clothing|Luxe|Women|Evening Dresses|Evening Dresses,USD,2018-01-14T21:02:07.733Z,"Marchesa’s sister-line, Marchesa Notte, continues to exhibit the brand’s dedication to show-stopping flourishes, noteworthy attention to detail and feminine glamour. This stunning powder blue gown is from the label’s AW17 pre-collection, inspired by the idea of all-night dance attire. It features a figure-flattering corseted top with a sweetheart neckline, a rear zip fastening, a fitted waist and adjustable shoulder straps. The flared skirt boasts a floor-skimming length while the body is adorned with multicoloured embroidered flowers.",https://cdn-images.farfetch-contents.com/12/09/38/28/12093828_10180831_1000.jpg|https://cdn-images.farfetch-contents.com/12/09/38/28/12093828_10180833_1000.jpg|https://cdn-images.farfetch-contents.com/12/09/38/28/12093828_10180836_1000.jpg|https://cdn-images.farfetch-contents.com/12/09/38/28/12093828_10180839_1000.jpg|https://cdn-images.farfetch-contents.com/12/09/38/28/12093828_10180842_1000.jpg,floral embroidered gown,836.5,12093828,https://www.farfetch.com/shopping/women/marchesa-notte-floral-embroidered-gown-item-12093828.aspx,POWDER BLUE
Oscar de la Renta,Clothing|Luxe|Women|Evening Dresses|Evening Dresses,USD,2018-01-14T21:02:10.470Z,Off-white embroidered flared gown from Oscar de la Renta.,https://cdn-images.farfetch-contents.com/12/20/41/87/12204187_10474406_1000.jpg|https://cdn-images.farfetch-contents.com/12/20/41/87/12204187_10474408_1000.jpg|https://cdn-images.farfetch-contents.com/12/20/41/87/12204187_10474410_1000.jpg|https://cdn-images.farfetch-contents.com/12/20/41/87/12204187_10474411_1000.jpg|https://cdn-images.farfetch-contents.com/12/20/41/87/12204187_10474414_1000.jpg,embroidered flared gown,5329.5,12204187,https://www.farfetch.com/shopping/women/oscar-de-la-renta-embroidered-flared-gown-item-12204187.aspx,CHAMPAGNE
Marchesa Notte,Clothing|Luxe|Women|Evening Dresses|Evening Dresses,USD,2018-01-14T21:02:13.400Z,"Green and black rose embroidered gown from Marchesa Notte featuring a round neck, three-quarter length sleeves, a concealed rear zip fastening, a flared style and a long length.",https://cdn-images.farfetch-contents.com/12/09/38/32/12093832_9802827_1000.jpg|https://cdn-images.farfetch-contents.com/12/09/38/32/12093832_9802832_1000.jpg|https://cdn-images.farfetch-contents.com/12/09/38/32/12093832_9802835_1000.jpg|https://cdn-images.farfetch-contents.com/12/09/38/32/12093832_9802838_1000.jpg|https://cdn-images.farfetch-contents.com/12/09/38/32/12093832_9802841_1000.jpg,rose embroidered gown,760.75,12093832,https://www.farfetch.com/shopping/women/marchesa-notte-rose-embroidered-gown-item-12093832.aspx,GREEN
