product>>brand,product>>categories,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>price,product>>sku,product>>url,product>>variations
Estee Lauder,skincare|by category|repair serum,USD,2018-01-12T11:47:42.979Z,"Reveal a smoother, more radiant, younger look. Wake up to more beautiful skin every day. Tested and proven: Advanced Night Repair dramatically reduces the look of all key signs of aging. It maximizes the power of skin's natural nighttime renewal with our exclusive ChronoluxCB™ Technology. Lines and wrinkles look significantly reduced. More than 75% of women felt their skin looked more youthful in just 4 weeks. Skin feels smoother, hydrated, stronger. 82% felt their skin was immediately hydrated. Skin looks younger, radiant, more even toned. 83% felt their skin looked healthier, fresher, more rested in just 4 weeks. Patented until 2033. Effective for every ethnicity. *NPD Group / U.S. Prestige Beauty Dept/Specialty In-Store & Online, Skincare, 12-month unit sales as of July 2017.",https://www.esteelauder.com/media/export/cms/products/558x768/el_sku_YF4E01_558x768_0.jpg|https://www.esteelauder.com/media/export/cms/products/558x768/el_sku_YF4E01_558x768_1.jpg|https://www.esteelauder.com/media/export/cms/products/558x768/el_sku_YF4E01_558x768_0.jpg|https://www.esteelauder.com/media/export/cms/products/558x768/el_sku_YF4E01_558x768_1.jpg|https://www.esteelauder.com/product/681/26959/product-catalog/skincare/advanced-night-repair/synchronized-recovery-complex-ii|https://www.esteelauder.com/media/export/cms/products/558x768/el_sku_YF4901_558x768_0.jpg|https://www.esteelauder.com/media/export/cms/products/558x768/el_sku_YF4901_558x768_1.jpg|https://www.esteelauder.com/product/681/26959/product-catalog/skincare/advanced-night-repair/synchronized-recovery-complex-ii|https://www.esteelauder.com/media/export/cms/products/558x768/el_sku_RNYT01_558x768_0.jpg|https://www.esteelauder.com/media/export/cms/products/558x768/el_sku_RNYT01_558x768_1.jpg|https://www.esteelauder.com/product/681/26959/product-catalog/skincare/advanced-night-repair/synchronized-recovery-complex-ii,Advanced Night Repair,65,PROD26959,https://www.esteelauder.com/product/681/26959/product-catalog/skincare/advanced-night-repair/synchronized-recovery-complex-ii,
Estee Lauder,skincare|by category|repair serum,USD,2018-01-12T11:47:43.613Z,"The new force to fight gravity. This high-speed formula delivers visible improvement to multiple facial zones—along the jawline, cheeks, around eyes and even stubborn laugh lines—for an overall natural, more lifted and youthful look.Instantly: Your skin is radiant, hydrated, rejuvenated.In 3 Days: Your skin feels smooth, plumped, baby-soft. Gentle AHAs refine skin's texture.In Just 2 Weeks, See a More Lifted Look: Skin feels firmer and facial contours—jawline and cheeks—look more lifted and defined. Lines and wrinkles look dramatically reduced.With a powerful concentration of Acetyl Hexapeptide-8—a custom-designed rebuilding peptide—the formula penetrates quickly. Helps skin boost its natural collagen and elastin to strengthen its vital support network. Professionally inspired. Patented until 2021.",https://www.esteelauder.com/media/export/cms/products/558x768/el_sku_RY9801_558x768_0.jpg|https://www.esteelauder.com/media/export/cms/products/558x768/el_sku_RY9801_558x768_0.jpg|https://www.esteelauder.com/product/681/55184/product-catalog/skincare/perfectionist-pro/rapid-firm-lift-treatment-with-acetyl-hexapeptide-8|https://www.esteelauder.com/media/export/cms/products/558x768/el_sku_RY9701_558x768_0.jpg|https://www.esteelauder.com/product/681/55184/product-catalog/skincare/perfectionist-pro/rapid-firm-lift-treatment-with-acetyl-hexapeptide-8,Perfectionist Pro,75,PROD55184,https://www.esteelauder.com/product/681/55184/product-catalog/skincare/perfectionist-pro/rapid-firm-lift-treatment-with-acetyl-hexapeptide-8,
Estee Lauder,skincare|by category|repair serum,USD,2018-01-12T11:47:43.696Z,"A revolution in repair for fresh, youthful-looking eyes. Starting tonight, rejuvenate the look and feel of your eyes after the stresses of modern life—from long days to lack of sleep, even pollution. Our Worldwide First: the only Eye Mask infused with Advanced Night Repair technology. Experience this targeted weekly Eye Mask that bursts onto skin with 20X more of our proven soothing, hydrating and ChronoluxCB™ repair ingredients.* Instantly, your eye area feels cool and refreshed. In just 10 minutes, eyes look more rested, renewed fine, dry lines are plumped as skin is drenched with hydration. Eyes look radiant, infused with luminous youth. It's proven for all ethnicities. And proven powerful—in fact, among women who tried it**: 91% felt hydrated89% felt calm and soothed82% said their eyes looked more radiant*One Eye Mask compared to one application of Eye Gel Creme.**Consumer testing on 102 women.",https://www.esteelauder.com/media/export/cms/products/558x768/el_sku_REGY01_558x768_0.jpg|https://www.esteelauder.com/media/export/cms/products/558x768/el_sku_REGY01_558x768_0.jpg|https://www.esteelauder.com/product/681/43034/product-catalog/skincare/advanced-night-repair/concentrated-recovery-eye-mask|https://www.esteelauder.com/media/export/cms/products/558x768/el_sku_REH901_558x768_0.jpg|https://www.esteelauder.com/product/681/43034/product-catalog/skincare/advanced-night-repair/concentrated-recovery-eye-mask,Advanced Night Repair,11,PROD43034,https://www.esteelauder.com/product/681/43034/product-catalog/skincare/advanced-night-repair/concentrated-recovery-eye-mask,
Estee Lauder,skincare|by category|repair serum,USD,2018-01-12T11:47:43.775Z,"Now re-ignite the youthful light of your eyes with our most comprehensive anti-aging eye serum ever.Proven to reduce the look of every key visible sign of eye aging: fine lines, wrinkles, puffiness, dark circles, dryness and uneven skintone.A WORLDWIDE FIRST. Our Youth Light Measurement™ shows significant improvement: a 25% more youthful—vibrant, brighter—look to your eyes.With exclusive ChronoluxCB™ Technology, it maximizes the power of night to re-ignite the light that can fade due to fatigue, pollution and age.See your most beautiful eyes ever.Intensely hydrating, fast-penetrating, lightweight serum leaves eye area soothed, refreshed.",https://www.esteelauder.com/media/export/cms/products/558x768/el_sku_YLKA01_558x768_0.jpg|https://www.esteelauder.com/media/export/cms/products/558x768/el_sku_YLKA01_558x768_0.jpg|https://www.esteelauder.com/product/681/31272/product-catalog/skincare/advanced-night-repair-eye-serum/synchronized-complex-ii,Advanced Night Repair Eye Serum,66,PROD31272,https://www.esteelauder.com/product/681/31272/product-catalog/skincare/advanced-night-repair-eye-serum/synchronized-complex-ii,
Estee Lauder,skincare|by category|repair serum,USD,2018-01-12T11:47:43.884Z,"Our most effective wrinkle-fighting serum ever.It dramatically reduces the appearance of lines and wrinkles, with exceptional speed. Facial contours appear firmer and more defined.Breakthrough CPR-75 Technology is proven to double skin's natural collagen building power.*Instantly, lines and wrinkles are plumped and smoothed. Skin feels smooth, looks fresher, younger. In 1 week, a new level of skin perfection and clarity emerge.In just 4 weeks, skin looks redensified and reclaims a youthful firmness and suppleness. 96% showed a significant reduction in the look of lines and wrinkles.(*In vitro testing of CPR-75 Technology after 1 week)",https://www.esteelauder.com/media/export/cms/products/558x768/el_sku_Y6JL01_558x768_0.jpg|https://www.esteelauder.com/media/export/cms/products/558x768/el_sku_Y6JL01_558x768_0.jpg|https://www.esteelauder.com/product/681/21181/product-catalog/skincare/perfectionist-cpr/wrinkle-liftingfirming-serum|https://www.esteelauder.com/media/export/cms/products/558x768/el_sku_Y6JM01_558x768_0.jpg|https://www.esteelauder.com/product/681/21181/product-catalog/skincare/perfectionist-cpr/wrinkle-liftingfirming-serum,Perfectionist [<i>CP</i>+<i>R</i>],68,PROD21181,https://www.esteelauder.com/product/681/21181/product-catalog/skincare/perfectionist-cpr/wrinkle-liftingfirming-serum,
Estee Lauder,skincare|by category|repair serum,USD,2018-01-12T11:47:44.012Z,"Feel it. See it. Have it: your ideal skin.This fast-acting serum delivers our most dramatic skin resurfacing benefits.Virtually poreless: Pores appear 1/3 smaller instantly. You'll see a 69% reduction in the look of pores in just 4 weeks.Unbelievably soft and smooth: Idealist repairs the look of uneven skin texture, flakiness and roughness. Smooth it on and instantly enjoy that soft, seamless, silky feeling you love.Incredibly clear and even-toned: See more clarity and luminosity as Idealist gives skin an overall more even tone.",https://www.esteelauder.com/media/export/cms/products/558x768/el_sku_9MTF01_558x768_0.jpg|https://www.esteelauder.com/media/export/cms/products/558x768/el_sku_9MTF01_558x768_0.jpg|https://www.esteelauder.com/product/681/3298/product-catalog/skincare/idealist/pore-minimizing-skin-refinisher|https://www.esteelauder.com/media/export/cms/products/558x768/el_sku_9MTG01_558x768_0.jpg|https://www.esteelauder.com/product/681/3298/product-catalog/skincare/idealist/pore-minimizing-skin-refinisher,Idealist,58,PROD3298,https://www.esteelauder.com/product/681/3298/product-catalog/skincare/idealist/pore-minimizing-skin-refinisher,
Estee Lauder,skincare|by category|repair serum,USD,2018-01-12T11:47:44.116Z,"Special value set of two 1.7 oz. bottles of our #1 Repair Serum to reduce the look of all key signs of aging. Reveal a smoother, more radiant, younger look. Wake up to more beautiful skin every day. Tested and proven: Advanced Night Repair dramatically reduces the look of all key signs of aging. It maximizes the power of skin's natural nighttime renewal with our exclusive ChronoluxCB™ Technology. Lines and wrinkles look significantly reduced. More than 75% of women felt their skin looked more youthful in just 4 weeks. Skin feels smoother, hydrated, stronger. 82% felt their skin was immediately hydrated. Skin looks younger, radiant, more even toned. 83% felt their skin looked healthier, fresher, more rested in just 4 weeks. 25+ Patents and Patents Pending Worldwide. Effective for every ethnicity. *The NPD Group, Inc. / U.S. Prestige Beauty Total Department Specialty Skincare 12 month unit sales as of October, 2016.",https://www.esteelauder.com/media/export/cms/products/558x768/el_sku_RKN101_558x768_0.jpg|https://www.esteelauder.com/media/export/cms/products/558x768/el_sku_RKN101_558x768_0.jpg|https://www.esteelauder.com/product/681/39810/product-catalog/skincare/advanced-night-repair/synchronized-recovery-complex-ii-duo,Advanced Night Repair,165,PROD39810,https://www.esteelauder.com/product/681/39810/product-catalog/skincare/advanced-night-repair/synchronized-recovery-complex-ii-duo,
Estee Lauder,skincare|by category|repair serum,USD,2018-01-12T11:47:44.199Z,"Revolutionize the way you help renew and repair skin's appearance at night—and wake up to more radiant, youthful-looking skin with these nighttime skincare experts from Advanced Night Repair. Limited-time collection includes a full-size of our #1 Repair Serum, plus the New Eye Concentrate Matrix to reduce the look of fine lines, wrinkles, undereye puffiness, dark circles and uneven skintone. Advanced Night Repair Synchronized Recovery Complex II, 1 oz. (full-size)Advanced Night Repair Eye Concentrate Matrix Synchronized Recovery, .17 oz. (deluxe travel size)Advanced Night Repair Intensive Recovery Ampoules (10 ampoules)Advanced Night Micro Cleansing Foam, 1 oz. (deluxe travel size)",https://www.esteelauder.com/media/export/cms/products/558x768/el_sku_RX3R01_558x768_0.jpg|https://www.esteelauder.com/media/export/cms/products/558x768/el_sku_RX3R01_558x768_0.jpg|https://www.esteelauder.com/product/14324/51587/product-catalog/whats-new/gifts/powerful-nighttime-renewal/wake-up-to-more-youthful-radiant-looking-skin,Powerful Nighttime Renewal,68,PROD51587,https://www.esteelauder.com/product/14324/51587/product-catalog/whats-new/gifts/powerful-nighttime-renewal/wake-up-to-more-youthful-radiant-looking-skin,
Estee Lauder,skincare|by category|repair serum,USD,2018-01-12T11:47:44.286Z,"Now you can have it all: a more lifted look, the firmer feeling and the radiance that reflects how beautiful you are. Discover targeted experts to reveal a remarkably younger look. These high-performance formulas work together to deliver maximum benefits and results you can see. Limited-time collection includes: Perfectionist [CP+R] Wrinkle Lifting/Firming Serum, 1 oz. (full-size)Resilience Lift Firming/Sculpting Face and Neck Creme SPF 15, .5 oz.Resilience Lift Firming/Sculpting Eye Creme, .17 oz.",https://www.esteelauder.com/media/export/cms/products/558x768/el_sku_RTY301_558x768_0.jpg|https://www.esteelauder.com/media/export/cms/products/558x768/el_sku_RTY301_558x768_0.jpg|https://www.esteelauder.com/product/14324/51266/product-catalog/whats-new/gifts/lift-firm-set/with-full-size-serum,Lift + Firm Set,72,PROD51266,https://www.esteelauder.com/product/14324/51266/product-catalog/whats-new/gifts/lift-firm-set/with-full-size-serum,
Estee Lauder,skincare|by category|repair serum,USD,2018-01-12T11:47:44.381Z,"Micro ampoules. Mega impact.This powerful recovery concentrate calms and rapidly renews the look of over-stressed skin, helping to strengthen its resistance against future assaults.Treatment oil includes ChronoluxAI technology to help reduce visible irritation and synchronize the look of skin.After just one ampoule, 92% of women said their skin felt calmed and soothed the next morning.* Skin looked more radiant and healthy. Apply it over Advanced Night Repair Serum and in just 2 weeks, the improvement in skin's protective barrier strength is more than doubled.**Revolutionize how you repair at night. Help your skin recover the healthy, luminous look of youth.*Consumer testing on a total of 567 women with stressed skin.**Compared with using Advanced Night Repair Serum alone.",https://www.esteelauder.com/media/export/cms/products/558x768/el_sku_REGW01_558x768_0.jpg|https://www.esteelauder.com/media/export/cms/products/558x768/el_sku_REGW01_558x768_0.jpg|https://www.esteelauder.com/product/681/39648/product-catalog/skincare/advanced-night-repair/intensive-recovery-ampoules,Advanced Night Repair,112,PROD39648,https://www.esteelauder.com/product/681/39648/product-catalog/skincare/advanced-night-repair/intensive-recovery-ampoules,
