item>>brand,item>>categories,item>>description,item>>image,item>>instock,item>>price,item>>rating,item>>sku,item>>title,item>>total_reviews,item>>url
ВкусВилл,"Молочные продукты, яйцо,Кисломолочные продукты","О своем продукте мы всегда напишем вкусно. А вот покупателей не обманешь. Поэтому здесь представлены реальные отзывы от реальных покупателей из рубрики ""Народный гурман""",https://img.vkusvill.ru/pim/images/site/c2c7cffb-6b68-4d28-9f4d-ea20ed577c27.jpg,yes,62,4.7,37029,Айран 2%,4,https://vkusvill.ru/goods/ayran-2-37029.html
ВкусВилл,"Молочные продукты, яйцо,Кисломолочные продукты","Нормализованное молоко на закваске с ацидофильной палочкой. Если йогурт способен поддержать здоровье ЖКТ, то ацидофилин можно назвать лечебным продуктом, который необходим при наличии некоторых заболеваний. В отличие от других молочнокислых бактерий ацидофильная палочка, попадая в наш желудок, не поддается воздействиям желудочного сока, поэтому попадает в кишечник в своем первоначальном виде без изменений. В кишечнике она способна какое-то время развиваться, препятствуя при этом развитию гнилостных бактерий и восстанавливая здоровую микрофлору. Открыл эту чудо-палочку в 1903 году врач И. Подгаецкий. Он же обнаружил, что ацидофильная палочка приживается в нашем организме лучше, чем болгарская. Для организма человека ацидофильная палочка является самым настоящим санитаром. Развиваясь в нашем организме, она оказывает бактерицидное действие, подавляя гнилостные и бродильные процессы в пищеварительной системе. В Европе в отличие от России ацидофильная палочка широко используется и входит в состав многих молочных продуктов. Ацидофильную палочку там даже прописывают в виде сухого препарата тем, кто проходит курс лечения антибиотиками. А в США и других странах пытаются сделать лечебные продукты с ацидофильными бактериями.",https://img.vkusvill.ru/pim/images/site/2820fc4a-97fb-49fd-a738-c7f2013623fa.jpg,yes,51,4.9,18888,"Ацидофилин 3,2%, 200 г",3,https://vkusvill.ru/goods/atsidofilin-3-2-200-g-18888.html
ВкусВилл,"Молочные продукты, яйцо,Яйцо","Лучший друг спортсменов! Зарядит энергией и бодростью. Готовьте диетические блюда, добавляйте в фарш для котлет, придумывайте собственные рецепты для силы и красоты. Но знайте, что и в выпечке он хорош!",https://img.vkusvill.ru/pim/images/site/53901715-8976-41a5-81b5-795fd45521ca.jpg,yes,128,4.8,24891,"Белок, 500 мл",4,https://vkusvill.ru/goods/belok-500-ml-24891.html
ВкусВилл,"Молочные продукты, яйцо,Йогурты и молочные напитки","Йогурт из коровьего молока и закваски с живыми бифидобактериями. Приятный кисломолочный вкус основы дополнен терпкими нотами ароматных ягод: вишни и брусники. Для полезного завтрака или перекуса — то, что надо!",https://img.vkusvill.ru/pim/images/site/f06dc271-0f9b-4cf9-bd58-0efcfbfc9152.jpg,yes,58,,56978,"Биойогурт «Вишня-брусника» 2,5%",,https://vkusvill.ru/goods/bioyogurt-vishnya-brusnika-2-5-56978.html
ВкусВилл,"Молочные продукты, яйцо,Детские молочные продукты","В состав этого биойогурта входит пребиотик инулин, способствующий укреплению костей. Полезные бифидобактерии благотворно влияют на работу кишечника и поддерживают естественный баланс микрофлоры в организме. Рекомендован для питания детей с 8 месяцев.",https://img.vkusvill.ru/pim/images/site/464cb283-7150-4917-a0c0-3818cc59d66a.JPG,yes,48,4.8,31131,"Биойогурт детский питьевой с клубникой 2,5%",5,https://vkusvill.ru/goods/bioyogurt-detskiy-pitevoy-s-klubnikoy-2-5-31131.html
ВкусВилл,"Молочные продукты, яйцо,Детские молочные продукты","Напиток с натуральным персиковым наполнителем и мягким молочно-фруктовым вкусом. В состав этого биойогурта входит пребиотик инулин, способствующий укреплению костей. Полезные бифидобактерии благотворно влияют на работу кишечника и поддерживают естественный баланс микрофлоры в организме. Рекомендован для питания детей с 8 месяцев.",https://img.vkusvill.ru/pim/images/site/53564ea7-c404-4379-88a0-db6f66e498c8.jpg,yes,48,,22634,"Биойогурт детский питьевой с персиком 2,5%",,https://vkusvill.ru/goods/bioyogurt-detskiy-pitevoy-s-persikom-2-5-22634.html
ВкусВилл,"Молочные продукты, яйцо,Детские молочные продукты","Биойогурт питьевой обогащенный пребиотиком. Для питания детей с 8 месяцев. Перед употреблением взболтать, рекомендованный врачом объём продукта перелить в чистую прокипячённую посуду и нагреть на водяной бане до температуры 36–38 ºС. Продукт готов к употреблению.",https://img.vkusvill.ru/pim/images/site/5b1acdbe-8114-479a-8162-3b5d9a5a52b6.JPG,yes,48,4.8,33475,"Биойогурт детский с вишней 2,5%",3,https://vkusvill.ru/goods/bioyogurt-detskiy-s-vishney-2-5-33475.html
ВкусВилл,"Молочные продукты, яйцо,Детские молочные продукты","Биойогурт питьевой обогащенный пребиотиком с манго без добавления сахара. Для питания детей с 8 месяцев. Перед употреблением взболтать, рекомендованный врачом объём продукта перелить в чистую прокипячённую посуду и нагреть на водяной бане до температуры 36–38 ºС.",https://img.vkusvill.ru/pim/images/site/c9732781-50db-40ec-933a-78c8d5d09190.JPG,yes,47,4.7,33477,"Биойогурт детский с манго без добавления сахара 2,5%",5,https://vkusvill.ru/goods/bioyogurt-detskiy-s-mango-bez-dobavleniya-sakhara-2-5-33477.html
ВкусВилл,"Молочные продукты, яйцо,Детские молочные продукты","О своем продукте мы всегда напишем вкусно. А вот покупателей не обманешь. Поэтому здесь представлены реальные отзывы от реальных покупателей из рубрики ""Народный гурман""",https://img.vkusvill.ru/pim/images/site/200bb42f-0355-405d-a32a-ec7bbb623fbf.jpg,yes,34,4.7,34241,"Биойогурт детский с персиком 2,2%",4,https://vkusvill.ru/goods/bioyogurt-detskiy-s-persikom-2-2-34241.html
ВкусВилл,"Молочные продукты, яйцо,Из козьего, кобыльего и овечьего молока","Этот продукт просто незаменим для детей и людей с непереносимостью коровьего молока. А также такой йогурт очень полезен, ведь козье молоко усваивается легче и лучше, чем коровье, а бифидобактерии делают его «живым» продуктом. Козий йогурт – источник кальция, потому он особенно полезен растущему организму. Такой йогурт рекомендуется при аллергических заболеваниях и диатезе, беременным и кормящим женщинам для профилактики пищевой аллергии у ребенка. Чем полезен биойогурт из козьего молока: - улучшает обмен веществ и пищеварительные процессы; - препятствует развитию гнилостных процессов в кишечнике; - рекомендуется при аллергических заболеваниях и диатезе.",https://img.vkusvill.ru/pim/images/site/535855b8-9d8c-4158-bde9-0ba2a35a44ad.jpg,yes,60,4.8,1045,"Биойогурт из козьего молока 3-4,5%",5,https://vkusvill.ru/goods/bioyogurt-iz-kozego-moloka-3-4-5-1045.html
