product>>brand,product>>category,product>>date,product>>description,product>>images,product>>name,product>>sku,product>>url,product>>variations
Illume,gifts|features|the gift guide,2017-12-05T21:15:58.241Z,"New from the fragrance masters at Illume, Anatomy of a Fragrance bath and beauty products are sophisticated, lighthearted luxuries. Each is crafted in Minnesota, where Illume combines their signature scents with beautiful packaging designed in-house. From lavish hand creams to triple-milled soaps to nature-inspired perfumes, their line is ready-made for gifting and indulging. **Honey Rose**: a warm, romantic scent with notes of lily of the valley, sandalwood and bergamot **Orchid Vanille**: a bright, fresh combination of orange blossom, jasmine, black currant and praline **Wildflower Bergamot**: A zesty blend of bergamot, lemon and mango layered with cedar and sandalwood",https://images.anthropologie.com/is/image/Anthropologie/44448363_040_b|http://images.anthropologie.com/is/image/Anthropologie/44448363_040_b|http://images.anthropologie.com/is/image/Anthropologie/44448363_070_b|http://images.anthropologie.com/is/image/Anthropologie/44448363_065_b,Anatomy of a Fragrance Gift Set,44448363,https://www.anthropologie.com/shop/anatomy-of-a-fragrance-gift-set,Wildflower Bergamot|Orchid Vanille|Honey Rose
Capri Blue,gifts|features|the gift guide,2017-12-05T21:15:59.713Z,"Capri Blue's iconic vessels and fragrances - proudly designed and poured in Mississippi - are a long-standing favorite at Anthropologie. The line pairs striking visuals with intoxicating scents to create beautifully aromatic products like soy-blended candles and vegan-formulated beauty care. **Volcano**: tropical fruits, sugared oranges, lemons and limes, redolent with lightly exotic mountain greens **Coastal**: notes of pineapple, verbena and coconut, accented by sparkling lemon, bergamot and grapefruit **Fir & Firewood**: a fruity, green aroma of apple, clove, fir, pine needle, white birch, cedar, vetiver and musk **Japanese Quince & Cedar**: aromatic cedar wood is embellished with sun-ripened cassis, sugared quince, accents of red currant and a splash of sparkling pomelo **Gardenia & Fig**: bright greens and fresh peach mingle with gardenia, rose, ylang ylang and coconut over a base of light musk **Cinnamon Toddy**: a mouthwatering medley of ripe apple, warm cinnamon, golden clove and grated nutmeg topped with notes of honey and maple **Spiced Cider**: nutmeg, clove and cinnamon are layered over fresh apple and juicy orange notes **Lagoon**: top notes of freesia, incense and tamarind blend over a musky base of cashmere, wood and vetiver **Grapefruit Neroli**: sun-kissed grapefruit, quince and tangerine over neroli, vanilla, orchid and currant",https://images.anthropologie.com/is/image/Anthropologie/19851559_033_b|https://images.anthropologie.com/is/image/Anthropologie/19851559_033_b10|http://images.anthropologie.com/is/image/Anthropologie/19851559_033_b|http://images.anthropologie.com/is/image/Anthropologie/19851559_033_b10|http://images.anthropologie.com/is/image/Anthropologie/19851559_090_b|http://images.anthropologie.com/is/image/Anthropologie/19851559_090_b10|http://images.anthropologie.com/is/image/Anthropologie/19851559_090_b15|http://images.anthropologie.com/is/image/Anthropologie/19851559_090_b16|http://images.anthropologie.com/is/image/Anthropologie/19851559_049_b|http://images.anthropologie.com/is/image/Anthropologie/19851559_026_b|http://images.anthropologie.com/is/image/Anthropologie/19851559_098_b|http://images.anthropologie.com/is/image/Anthropologie/19851559_040_b|http://images.anthropologie.com/is/image/Anthropologie/19851559_007_b|http://images.anthropologie.com/is/image/Anthropologie/19851559_007_b2,Capri Blue Iridescent Jar Candle,19851559,https://www.anthropologie.com/shop/capri-blue-iridescent-jar-candle8,Fir and Firewood|Spiced Cider|Volcano|Spiced Cider|Fir and Firewood|Volcano|Volcano
Anthropologie,gifts|features|the gift guide,2017-12-05T21:16:00.340Z,,https://images.anthropologie.com/is/image/Anthropologie/39336862_001_b3|https://images.anthropologie.com/is/image/Anthropologie/39336862_001_b|https://images.anthropologie.com/is/image/Anthropologie/39336862_001_b2|https://images.anthropologie.com/is/image/Anthropologie/39336862_001_b14|http://images.anthropologie.com/is/image/Anthropologie/39336862_001_b3|http://images.anthropologie.com/is/image/Anthropologie/39336862_001_b|http://images.anthropologie.com/is/image/Anthropologie/39336862_001_b2|http://images.anthropologie.com/is/image/Anthropologie/39336862_001_b14|http://images.anthropologie.com/is/image/Anthropologie/39336862_074_b|http://images.anthropologie.com/is/image/Anthropologie/39336862_074_b2|http://images.anthropologie.com/is/image/Anthropologie/39336862_074_b3|http://images.anthropologie.com/is/image/Anthropologie/39336862_074_b14|http://images.anthropologie.com/is/image/Anthropologie/39336862_010_b|http://images.anthropologie.com/is/image/Anthropologie/39336862_010_b2|http://images.anthropologie.com/is/image/Anthropologie/39336862_010_b15|http://images.anthropologie.com/is/image/Anthropologie/39336862_030_b|http://images.anthropologie.com/is/image/Anthropologie/39336862_030_b2|http://images.anthropologie.com/is/image/Anthropologie/39336862_030_b15|http://images.anthropologie.com/is/image/Anthropologie/39336862_040_b|http://images.anthropologie.com/is/image/Anthropologie/39336862_040_b2|http://images.anthropologie.com/is/image/Anthropologie/39336862_040_b3|http://images.anthropologie.com/is/image/Anthropologie/39336862_040_b14|http://images.anthropologie.com/is/image/Anthropologie/39336862_065_b|http://images.anthropologie.com/is/image/Anthropologie/39336862_065_b2|http://images.anthropologie.com/is/image/Anthropologie/39336862_065_b3|http://images.anthropologie.com/is/image/Anthropologie/39336862_051_b|http://images.anthropologie.com/is/image/Anthropologie/39336862_051_b2|http://images.anthropologie.com/is/image/Anthropologie/39336862_051_b10|http://images.anthropologie.com/is/image/Anthropologie/39336862_066_b|http://images.anthropologie.com/is/image/Anthropologie/39336862_066_b2|http://images.anthropologie.com/is/image/Anthropologie/39336862_066_b10,Slivered Geode Coaster,39336862,https://www.anthropologie.com/shop/geode-coaster,Black Quartz|Dyed Citron|White Quartz|Adventurian|Dyed Blue|Dyed Magenta|Amethyst|Rose quartz
Floreat,gifts|features|the gift guide,2017-12-05T21:16:01.211Z,,https://images.anthropologie.com/is/image/Anthropologie/43663541_000_b|https://images.anthropologie.com/is/image/Anthropologie/43663541_000_b2|https://images.anthropologie.com/is/image/Anthropologie/43663541_000_b3|https://images.anthropologie.com/is/image/Anthropologie/43663541_000_b4|http://images.anthropologie.com/is/image/Anthropologie/43663541_000_b|http://images.anthropologie.com/is/image/Anthropologie/43663541_000_b2|http://images.anthropologie.com/is/image/Anthropologie/43663541_000_b3|http://images.anthropologie.com/is/image/Anthropologie/43663541_000_b4|http://images.anthropologie.com/is/image/Anthropologie/43663541_049_b|http://images.anthropologie.com/is/image/Anthropologie/43663541_049_b2|http://images.anthropologie.com/is/image/Anthropologie/43663541_049_b3|http://images.anthropologie.com/is/image/Anthropologie/43663541_049_b4,Floreat Printed Sleep Pants,43663541,https://www.anthropologie.com/shop/floreat-printed-sleep-pants,ASSORTED|BLUE MOTIF
Sally Muir,gifts|features|the gift guide,2017-12-05T21:16:02.023Z,"A former knitwear designer, the British artist tackled a year-long project of painting a different pup every day, resulting in a wildly popular gallery show at our Kings Road store and this exclusive tableware for your home",https://images.anthropologie.com/is/image/Anthropologie/A39234018_053_b|https://images.anthropologie.com/is/image/Anthropologie/A39234018_053_b10|https://images.anthropologie.com/is/image/Anthropologie/A39234018_053_b11|http://images.anthropologie.com/is/image/Anthropologie/39286992_000_b|http://images.anthropologie.com/is/image/Anthropologie/39286992_000_b14|http://images.anthropologie.com/is/image/Anthropologie/39286992_000_b2|http://images.anthropologie.com/is/image/Anthropologie/39286992_000_b3|http://images.anthropologie.com/is/image/Anthropologie/A39234018_053_b|http://images.anthropologie.com/is/image/Anthropologie/A39234018_053_b10|http://images.anthropologie.com/is/image/Anthropologie/A39234018_053_b11|http://images.anthropologie.com/is/image/Anthropologie/A39234018_032_b|http://images.anthropologie.com/is/image/Anthropologie/A39234018_032_b10|http://images.anthropologie.com/is/image/Anthropologie/A39234018_032_b11|http://images.anthropologie.com/is/image/Anthropologie/A39234018_102_b|http://images.anthropologie.com/is/image/Anthropologie/A39234018_102_b10|http://images.anthropologie.com/is/image/Anthropologie/A39234018_102_b11|http://images.anthropologie.com/is/image/Anthropologie/A39234018_069_b|http://images.anthropologie.com/is/image/Anthropologie/A39234018_069_b10|http://images.anthropologie.com/is/image/Anthropologie/A39234018_069_b11|http://images.anthropologie.com/is/image/Anthropologie/A39234018_043_b|http://images.anthropologie.com/is/image/Anthropologie/A39234018_043_b10|http://images.anthropologie.com/is/image/Anthropologie/A39234018_043_b11|http://images.anthropologie.com/is/image/Anthropologie/A39234018_105_b|http://images.anthropologie.com/is/image/Anthropologie/A39234018_105_b2|http://images.anthropologie.com/is/image/Anthropologie/A39234018_105_b11x|http://images.anthropologie.com/is/image/Anthropologie/A39234018_105_b10|http://images.anthropologie.com/is/image/Anthropologie/A39234018_089_b|http://images.anthropologie.com/is/image/Anthropologie/A39234018_089_b10|http://images.anthropologie.com/is/image/Anthropologie/A39234018_089_b14|http://images.anthropologie.com/is/image/Anthropologie/A39234018_063_b|http://images.anthropologie.com/is/image/Anthropologie/A39234018_063_b10,Dog-a-Day Dessert Plate,39286992,https://www.anthropologie.com/shop/dog-a-day-dessert-plate2,Assorted|Black Lab|White Dog|Chihuahua|Frenchie|Dachshund|Pug|Whippet|Westie
Anthropologie,gifts|features|the gift guide,2017-12-05T21:16:02.737Z,"Sometimes, the best way to make a statement is to spell it out. We recommend gleaming brass and a sizable pendant.",https://images.anthropologie.com/is/image/Anthropologie/37659125_901_b|https://images.anthropologie.com/is/image/Anthropologie/37659125_901_b3|http://images.anthropologie.com/is/image/Anthropologie/37659125_901_b|http://images.anthropologie.com/is/image/Anthropologie/37659125_901_b3,Monogram Pendant Necklace,37659125,https://www.anthropologie.com/shop/monogram-pendant-necklace,Assorted
Anthropologie,gifts|features|the gift guide,2017-12-05T21:16:03.099Z,"Incredibly soft, plush faux fur is the best way to wrap your loved ones in the epitome of cozy.",https://images.anthropologie.com/is/image/Anthropologie/40154023_066_b|https://images.anthropologie.com/is/image/Anthropologie/40154023_066_b2|https://images.anthropologie.com/is/image/Anthropologie/40154023_066_b10|https://images.anthropologie.com/is/image/Anthropologie/40154023_066_b11|https://images.anthropologie.com/is/image/Anthropologie/40154023_066_b14|http://images.anthropologie.com/is/image/Anthropologie/40154023_066_b|http://images.anthropologie.com/is/image/Anthropologie/40154023_066_b2|http://images.anthropologie.com/is/image/Anthropologie/40154023_066_b10|http://images.anthropologie.com/is/image/Anthropologie/40154023_066_b11|http://images.anthropologie.com/is/image/Anthropologie/40154023_066_b14|http://images.anthropologie.com/is/image/Anthropologie/40154023_010_b|http://images.anthropologie.com/is/image/Anthropologie/40154023_010_b2|http://images.anthropologie.com/is/image/Anthropologie/40154023_102_b|http://images.anthropologie.com/is/image/Anthropologie/40154023_102_b2,Fireside Faux Fur Throw Blanket,40154023,https://www.anthropologie.com/shop/fireside-faux-fur-throw-blanket,Blush|WHITE|MINT
Voluspa,gifts|features|the gift guide,2017-12-05T21:16:03.838Z,"Over ten years ago, husband and wife team Troy and Traci Arntsen began creating scented candles right in their home kitchen. Today, the couple own and operate Voluspa, an internationally renowned home fragrance label beloved for their signature coconut wax blends and luxurious packaging. Here, etched glass and warm, alluring scents fill the room with an aromatic glow. Gift to your dearest gal pal or a hard-to-please hostess. **Mokara**: orchid, white lily and spring moss (FLORAL) **Goji Tarocco Orange**: cold-pressed tarocco orange blended with sun-dried goji berries (FRESH) **French Cade & Lavender**: a refreshing blend of French cadewood, lavender, verbena and moss (FLORAL) **Baltic Amber**: forest scents of sandalwood and cedar (SPICE) **Panjore Lychee**: a citrus-tinged blend of cassis and Asian pear (FLORAL) **Crane Flower**: ripened grapefruit combines with geranium, lavender and nectar inspired by the Birds of Paradise flower (FLORAL) **Santiago Huckleberry**: sweet and spicy, with hints of vanilla pod and sugarcane (FRESH) **Gilt Pomander & Hinoki**: holly berries, cardamom and hinoki warm heart and hearth alike",https://images.anthropologie.com/is/image/Anthropologie/A23921851_026_b|http://images.anthropologie.com/is/image/Anthropologie/A23921851_026_b|http://images.anthropologie.com/is/image/Anthropologie/A23921851_010_b|http://images.anthropologie.com/is/image/Anthropologie/A23921851_010_b10|http://images.anthropologie.com/is/image/Anthropologie/A23921851_060_b|http://images.anthropologie.com/is/image/Anthropologie/A23921851_060_b10|http://images.anthropologie.com/is/image/Anthropologie/A23921851_046_b|http://images.anthropologie.com/is/image/Anthropologie/A23921851_046_b10|http://images.anthropologie.com/is/image/Anthropologie/A23921851_027_b|http://images.anthropologie.com/is/image/Anthropologie/A23921851_027_b10|http://images.anthropologie.com/is/image/Anthropologie/A23921851_066_b|http://images.anthropologie.com/is/image/Anthropologie/A23921851_066_b10|http://images.anthropologie.com/is/image/Anthropologie/A23921851_070_b|http://images.anthropologie.com/is/image/Anthropologie/A23921851_055_b|http://images.anthropologie.com/is/image/Anthropologie/A23921851_055_b10,Limited Edition Voluspa Cut Glass Jar Candle,A23921851,https://www.anthropologie.com/shop/limited-edition-voluspa-cut-glass-jar-candle,Gilt Pomander & Hinoki|Mokara|Goji Tarocco Orange|French Cade Lavender|Baltic Amber|Panjore Lychee|Crane Flower|Santiago Huckleberry
Anthropologie,gifts|features|the gift guide,2017-12-05T21:16:04.596Z,,https://images.anthropologie.com/is/image/Anthropologie/43491331_010_b|https://images.anthropologie.com/is/image/Anthropologie/43491331_010_b2|https://images.anthropologie.com/is/image/Anthropologie/43491331_010_b3|https://images.anthropologie.com/is/image/Anthropologie/43491331_010_b4|http://images.anthropologie.com/is/image/Anthropologie/43491331_010_b|http://images.anthropologie.com/is/image/Anthropologie/43491331_010_b2|http://images.anthropologie.com/is/image/Anthropologie/43491331_010_b3|http://images.anthropologie.com/is/image/Anthropologie/43491331_010_b4,Cozy Nights Cropped Kimono,43491331,https://www.anthropologie.com/shop/cozy-nights-cropped-kimono,WHITE
Illume,gifts|features|the gift guide,2017-12-05T21:16:05.445Z,"With a 20-year legacy, Minnesota-based fragrance label Illume is best known for its luxuriously-scented, clean-burning candles. Each signature scent is crafted by hand from all-natural, food-grade ingredients like coconut wax and essential oils, creating an inviting atmosphere wherever one is lit. The mouthwatering aromas of French desserts arise from the nourishing balms in this giftable set. **Sweet Vanilla & Cinnamon**: a comforting blend of nutmeg, vanilla bean and cinnamon crust (SPICE) **Vanilla & Fig**: a perfect blend of lush vanilla, orchid petals, figwood and black mission figs (SPICE) **Whipped Cream & Pear**: a decadent infusion of warm vanilla, fresh pear, whipping cream and a hint of apple peel (FRESH)",https://images.anthropologie.com/is/image/Anthropologie/44448892_000_b|https://images.anthropologie.com/is/image/Anthropologie/44448892_000_b2|http://images.anthropologie.com/is/image/Anthropologie/44448892_000_b|http://images.anthropologie.com/is/image/Anthropologie/44448892_000_b2,Boulangerie Lip Balm Set,44448892,https://www.anthropologie.com/shop/boulangerie-lip-balm-set,ASSORTED
