product>>brand,product>>categories,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>price,product>>sku,product>>url,product>>variations
Marciano,new arrivals|women|view all,USD,2018-01-18T00:28:37.564Z,"A must-have chic silhouette, this bandage dress is complete with long sleeves and a square neckline. Lace-up and polished metal grommet details add a stunning finish. Back zipper closure.",https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G7785036Z-RSTO?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G7785036Z-RSTO-ALT1?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G7785036Z-RSTO-ALT2?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G7785036Z-RSTO-ALT3?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G7785036Z-RSTO-ALT4?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G7785036Z-996?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G7785036Z-996-ALT1?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G7785036Z-996-ALT2?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G7785036Z-996-ALT3?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G7785036Z-G6F9?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G7785036Z-G6F9-ALT1?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G7785036Z-G6F9-ALT2?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G7785036Z-G6F9-ALT3?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G7785036Z-G6F9-ALT4?$2014_G_xxlarge$,Joceline Long-Sleeve Bandage Dress,198,81G7785036Z,https://guessbymarciano.guess.com/en/catalog/view/new-arrivals/women/view-all/joceline-long-sleeve-bandage-dress/81g7785036z,rolling stone|jet black|sea salt
Marciano,new arrivals|women|view all,USD,2018-01-18T00:28:38.826Z,"Step out in fresh style with this feminine romper featuring an allover floral print, a surplice neckline and long bell sleeves. Front slash pockets and waist tie detail. Front snap closure.",https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G8157278Z-MULT?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G8157278Z-MULT-ALT1?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G8157278Z-MULT-ALT2?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G8157278Z-MULT-ALT3?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G8157278Z-MULT-ALT4?$2014_G_xxlarge$,Sitting Pretty Surplice Romper,158,81G8157278Z,https://guessbymarciano.guess.com/en/catalog/view/new-arrivals/women/view-all/sitting-pretty-surplice-romper/81g8157278z,multicolored
Marciano,new arrivals|women|view all,USD,2018-01-18T00:28:39.328Z,"A sleek silhouette with modern appeal, this sleeveless dress is designed with an asymmetrical neckline, a functional zipper detail and a scuba-knit construction. Slips on.",https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G8146331Z-G889?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G8146331Z-G889-ALT1?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G8146331Z-G889-ALT2?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G8146331Z-G889-ALT3?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G8146331Z-G889-ALT4?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G8146331Z-G6F9?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G8146331Z-G6F9-ALT1?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G8146331Z-G6F9-ALT2?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G8146331Z-G6F9-ALT3?$2014_G_xxlarge$,Vivane Scuba Sleeveless Dress,178,81G8146331Z,https://guessbymarciano.guess.com/en/catalog/view/new-arrivals/women/view-all/vivane-scuba-sleeveless-dress/81g8146331z,palm green|sea salt
Marciano,new arrivals|women|view all,USD,2018-01-18T00:28:39.893Z,"Perfect for a night out, this lace long-sleeve dress features a high neckline, ruffle details and scalloped trim. Side zipper closure.",https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/74G7808538Z-A996?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/74G7808538Z-A996-ALT1?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/74G7808538Z-A996-ALT2?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/74G7808538Z-A996-ALT3?$2014_G_xxlarge$,Lace Long-Sleeve Sheath Dress,178,74G7808538Z,https://guessbymarciano.guess.com/en/catalog/view/new-arrivals/women/view-all/lace-long-sleeve-sheath-dress/74g7808538z,jet black
Marciano,new arrivals|women|view all,USD,2018-01-18T00:28:40.322Z,A tropical-inspired print gives this pretty top a fresh pop of color. Complete with long sleeves and buttoned cuffs. Hidden front button closures.,https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G4677120Z-MULT?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G4677120Z-MULT-ALT1?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G4677120Z-MULT-ALT2?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G4677120Z-MULT-ALT3?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G4677120Z-MULT-ALT4?$2014_G_xxlarge$,Sitting Pretty Printed Blouse,138,81G4677120Z,https://guessbymarciano.guess.com/en/catalog/view/new-arrivals/women/view-all/sitting-pretty-printed-blouse/81g4677120z,multicolored
Marciano,new arrivals|women|view all,USD,2018-01-18T00:28:40.779Z,"Make a bold statement in these pants designed with an allover floral print, lace-up side details, and a structured skinny fit. Back zipper and hook-and-eye closures.",https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G1137917Z-MULT?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G1137917Z-MULT-ALT1?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G1137917Z-MULT-ALT2?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G1137917Z-MULT-ALT3?$2014_G_xxlarge$,Sitting Pretty Printed Pant,178,81G1137917Z,https://guessbymarciano.guess.com/en/catalog/view/new-arrivals/women/view-all/sitting-pretty-printed-pant/81g1137917z,multicolored
Marciano,new arrivals|women|view all,USD,2018-01-18T00:28:41.277Z,"Step out in this chic dress featuring feminine ruffle detail at the front, a halter neckline and a curve-hugging fit. Back zipper closure.",https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/74G7528491Z-PEWH?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/74G7528491Z-PEWH-ALT1?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/74G7528491Z-PEWH-ALT2?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/74G7528491Z-PEWH-ALT3?$2014_G_xxlarge$,Ruffle Halter Dress,178,74G7528491Z,https://guessbymarciano.guess.com/en/catalog/view/new-arrivals/women/view-all/ruffle-halter-dress/74g7528491z,pink
Marciano,new arrivals|women|view all,USD,2018-01-18T00:28:41.743Z,Stun in this curve-skimming bandage dress featuring a double-strap sleeveless design and scoop neckline. Back zipper and hook-and-eye closures.,https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G8135012Z-PCHP?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G8135012Z-PCHP-ALT1?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G8135012Z-PCHP-ALT2?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G8135012Z-PCHP-ALT3?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G8135012Z-CHRS?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G8135012Z-CHRS-ALT1?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G8135012Z-CHRS-ALT2?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G8135012Z-CHRS-ALT3?$2014_G_xxlarge$,Sia Sleeveless Bandage Dress,158,81G8135012Z,https://guessbymarciano.guess.com/en/catalog/view/new-arrivals/women/view-all/sia-sleeveless-bandage-dress/81g8135012z,peach|chartreuse
Marciano,new arrivals|women|view all,USD,2018-01-18T00:28:42.312Z,Add a bold print to your wardrobe with this chic bodycon sweater dress featuring a sleeveless design and metallic detail. Stretch fit. Slips on.,https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G7995041Z-MULT?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G7995041Z-MULT-ALT1?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G7995041Z-MULT-ALT2?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G7995041Z-MULT-ALT3?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G7995041Z-MULT-ALT4?$2014_G_xxlarge$,Haute Tropic Bodycon Sweater Dress,158,81G7995041Z,https://guessbymarciano.guess.com/en/catalog/view/new-arrivals/women/view-all/haute-tropic-bodycon-sweater-dress/81g7995041z,multicolored
Marciano,new arrivals|women|view all,USD,2018-01-18T00:28:42.820Z,"Curve-skimming and utterly sexy, this sweater dress features a rib-knit construction, long sleeves and a corset-inpired, lace-up front with polished metal grommets. High neckline and back zipper closure.",https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G7815015Z-G630?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G7815015Z-G630-ALT1?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G7815015Z-G630-ALT2?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G7815015Z-G630-ALT3?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G7815015Z-G889?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G7815015Z-G889-ALT1?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G7815015Z-G889-ALT2?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G7815015Z-G889-ALT3?$2014_G_xxlarge$|https://a248.e.akamai.net/f/248/9086/10h/origin-d5.scene7.com/is/image/Guess/81G7815015Z-G889-ALT4?$2014_G_xxlarge$,Mattea Long-Sleeve Lace-Up Sweater Dress,178,81G7815015Z,https://guessbymarciano.guess.com/en/catalog/view/new-arrivals/women/view-all/mattea-long-sleeve-lace-up-sweater-dress/81g7815015z,pale peach|beetle
