product>>brand,product>>categories,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>price,product>>sku,product>>url,product>>variations
Cabela's,Hunting|Hunting Bags & Packs,USD,2017-12-27T13:24:43.531Z,"For total concealment and game-stalking quiet construction, look no further than our Traditional Hydration Pack. Incorporating low-nap poly tricot with PVC backing, this 70-oz.-capacity pack features comfort shoulder straps and a low-profile design. Taste-free hydration-tube system. External zippered pocket and shock-cord cargo panel. Imported.",http://images.cabelas.com/is/image/Cabelas/s7_518535_510_01?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_518535_510_01?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_518535_510_alt01_01?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_518535_510_alt02_01?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_518535_510_alt03_01?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_518535_510_alt04_01?wid=1000,Cabela's Traditional Hydration Pack,23.88,IK-518535,http://www.cabelas.com/product/hunting/hunting-bags-packs/pc/104791680/c/104392080/cabelas-traditional-hydration-pack/728032.uts,
Badlands,Hunting|Hunting Bags & Packs,USD,2017-12-27T13:24:46.525Z,"Long, challenging hunting trips require you to be prepared for any obstacle you might encounter. With Cabela's-exclusive Badlands' Release Day Pack, you'll have the pocket space, support and carry capabilities you need to be just that – prepared. The legendary Air-Track™ Suspension system combines with the technical, ultralight construction to deliver easy mobility for long treks over the most rugged terrain. Made of super-quiet KXO-32 fabric with rugged Hypalon- and Kevlar-reinforced stress points for durability that stands up to years of use in the field, it also offers a multitude of pockets - five to be exact - that team up to keep all of your must-have hunting gear and accessories secure while you're on the move. It even boasts bow-carrying capabilities for added hands-free convenience. External bedroll and compression straps. Accepts up to a 110-oz. reservoir (sold separately). Comes with Badlands' Unconditional Lifetime Warranty. Imported.",http://images.cabelas.com/is/image/Cabelas/s7_463111_999_04?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_463111_999_04?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_463111_999_alt01_04?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_463111_999_alt02_04?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_463111_999_alt03_04?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_463111_999_alt04_04?wid=1000,Badlands Release Day Pack – Cabela's Exclusive,99.99,IK-463111,http://www.cabelas.com/product/hunting/hunting-bags-packs/pc/104791680/c/104392080/badlands-release-day-pack/2000208.uts,
Herter's,Hunting|Hunting Bags & Packs,USD,2017-12-27T13:24:48.912Z,"Transport your calls, ammo and other duck-hunting accessories safely and securely in Herter's Waterfowl Field Bag. A large zippered opening delivers access to the main compartment, which has an adjustable divider to separate your gear. Exterior pockets on the front, back and sides keep essentials at the ready. Adjustable shoulder strap and neoprene-wrapped handle for easy carry. Rugged 600-denier polyester fabric resists snags and tears. Imported.",http://images.cabelas.com/is/image/Cabelas/s7_421520_560_02?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_421520_560_02?wid=1000,Herter's® Waterfowl Field Bag,24.99,IK-421520,http://www.cabelas.com/product/hunting/hunting-bags-packs/pc/104791680/c/104392080/herters-waterfowl-field-bag/1643686.uts,
Cabela's,Hunting|Hunting Bags & Packs,USD,2017-12-27T13:24:51.318Z,"You won’t find a better gear bag for a lower price. Its durable, weather-resistant 600-denier polyester construction makes it ideal for toting everything from packable rain gear to extra odds and ends. Sturdy 1-1⁄2"" nylon web carry straps can be joined by a hand-friendly wrap handle. Six exterior pockets, including zippered mesh pockets on top and side, provide multiple storage and organization options. Embroidered Cabela’s logo on front pocket. Imported.",http://images.cabelas.com/is/image/Cabelas/s7_580032_999_03?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_580032_999_03?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_580032_014_01?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_580032_014_01?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_580032_022_01?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_580032_022_01?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_580032_027_01?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_580032_027_01?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_580032_148_01?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_580032_148_01?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_580032_928_01?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_580032_928_01?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_580032_896_05?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_580032_896_05?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_580032_014_alt01_01?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_580032_148_alt01_01?wid=1000,Cabela's Catch-All Gear Bags,14.99,IK-580032,http://www.cabelas.com/product/hunting/hunting-bags-packs/pc/104791680/c/104392080/cabelas-catch-all-gear-bags/753422.uts,BLUE|TAN|PINK|GRAY|CAMO|O2 OCTANE
Cabela's,Hunting|Hunting Bags & Packs,USD,2017-12-27T13:24:53.690Z,"You aren't content with getting just off the road. Your hunts take you deep into the woods. The last thing you need to be worried about is if you brought everything you may need. With a 1,200-cu.-in. capacity and classic, top-load rucksack design, our Top-Load Pack ensures you have ample space for carrying all of your field essentials. Mesh side pockets provide additional areas for keeping must-have items within easy reach, while internal and external zippered hood pockets secure additional gear and accessories. Padded back panel offers cushioned support for long days afield. Front of the pack features daisy-chain webbing for attaching accessories, as well as a handle to ensure convenient carry. Webbed haul loop. Rugged YKK® zippers with easy-to-grasp pulls. Durable, water-resistant construction. Imported.",http://images.cabelas.com/is/image/Cabelas/s7_463023_052_01?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_463023_002_03?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_463023_001_01?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_463023_052_alt01_01?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_463023_052_alt02_01?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_463023_052_alt03_01?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_463023_052_alt04_01?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_463023_001_alt01_01?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_463023_002_alt01_03?wid=1000,Cabela's Top-Load Pack,29.99,IK-463023,http://www.cabelas.com/product/hunting/hunting-bags-packs/pc/104791680/c/104392080/cabelas-top-load-pack/2003512.uts,
Badlands,Hunting|Hunting Bags & Packs,USD,2017-12-27T13:24:56.057Z,"Badlands' 2200 Hunting Pack put the Badlands brand on the map, and years of redesigning have made it the ideal hunting pack. KXO-32 fabric is extremely abrasion-resistant and long lasting. T-6 aircraft-grade-aluminum frame has an incredible strength-to-weight ratio. Built-in meat shelf makes packing out your trophy easier. Capable of holding either a bow or a rifle so you're free to use your hands. Flexible, high-strength Hypalon® and Arimid threads are used in high-stress areas for over-the-top reinforcement. Spotting-scope pocket keeps your glass protected when traveling over rough terrain. Able to carry a rifle, bow and even a pistol Imported.",http://images.cabelas.com/is/image/Cabelas/s7_461671_001_02?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_461671_999_06?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_461671_001_alt01_02?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_461671_999_alt01_06?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_461671_999_alt02_02?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_461671_999_alt02_05?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_461671_999_alt03_03?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_461671_999_alt04_03?wid=1000,Badlands 2200 Hunting Pack,279.99,IK-461671,http://www.cabelas.com/product/hunting/hunting-bags-packs/pc/104791680/c/104392080/badlands-hunting-pack-ap-xtra/1790638.uts,
Badlands,Hunting|Hunting Bags & Packs,USD,2017-12-27T13:24:58.473Z,"With three main compartments and two pockets, the Badlands Pursuit Day Pack boasts enough room for your essential gear. Ultrastrong KX032 and nylon construction sports a waterproof urethane shell that protects your gear from moisture and remains whisper-quiet in the field. Triple-stitched seams, DuPont™ Kevlar® bartacking and Hypalon® panels ensure lasting durability. Ideal for on-the-move bowhunting with a 105-oz. hydration reservoir, sold separately. Imported.",http://images.cabelas.com/is/image/Cabelas/s7_462894_999_02?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_462894_721_01?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_462894_999_alt01_03?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_462894_999_alt02_03?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_462894_999_alt03_03?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_462894_999_alt04_02?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_462894_999_alt05_02?wid=1000,Badlands Pursuit Day Pack,99.99,IK-462894,http://www.cabelas.com/product/hunting/hunting-bags-packs/pc/104791680/c/104392080/badlands-pursuit-day-pack/1974493.uts,
Cabela's,Hunting|Hunting Bags & Packs,USD,2017-12-27T13:25:00.874Z,"Have all your hunting gear organized and within easy access inside our All-Day Transporter, a versatile fanny pack designed with all the features necessary for day-long excursions. The pack is constructed of silent, durable and weatherproof CT450 Plus fabric making it an obvious choice for all hunting situations. An adjustable compression pod extends from the bottom of the pack and attaches to the top of the main compartment with two side-release buckles. It's the ideal place to store extra gear such as clothing, rattling antlers and other bulky items. When not in use, the pod can be rolled and stored out of the way in the hook-and-loop pouch on the bottom of the main compartment. Molded-foam back panel and waistbelt comfortably distributes the weight of heavy loads. Front pocket contains an organizer panel and multiple elastic loops to hold scents, calls and knives. Main compartment has five internal mesh pouches to organize gear. Knife/mini-flashlight pouch on outside of main compartment keeps often-used items within quick reach. Holster-compatible waistbelt. Detachable shoulder harness. Imported.",http://images.cabelas.com/is/image/Cabelas/s7_460873_510_01?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_460873_898_01?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_460873_999_alt01_01?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_460873_999_alt02_01?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_460873_999_alt03_01?wid=1000,Cabela's All-Day Transporter Fanny Pack,89.99,IK-460873,http://www.cabelas.com/product/hunting/hunting-bags-packs/pc/104791680/c/104392080/cabelas-all-day-transporter-fanny-pack/1608920.uts,REALTREE XTRA
Badlands,Hunting|Hunting Bags & Packs,USD,2017-12-27T13:25:03.264Z,"Badlands' Treestand Day Pack is perfect for those who hunt from a treestand. Designed to carry a quiver (not included) or a bow or rifle. Hang this camouflaged, space-saving pack on a nearby limb and you're set for the day. Made from extremely durable and quiet KXO-32 fabric. Holds a 105-oz. hydration reservoir (not included). Two main compartments with a foldout stand organizer and six pockets keep all your gear organized. Imported.",http://images.cabelas.com/is/image/Cabelas/s7_460565_898_01?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_460565_898_01?wid=1000,Badlands Treestand Day Pack,159.99,IK-460565,http://www.cabelas.com/product/hunting/hunting-bags-packs/pc/104791680/c/104392080/badlands-treestand-day-pack/1375507.uts,
EBERLESTOCK,Hunting|Hunting Bags & Packs,USD,2017-12-27T13:25:05.705Z,"Eberlestock's Team Elk Pack was designed with the serious elk hunter in mind. Integrated bow and rifle carriers for hands-free hunting, no matter the season. Intex tubular aluminum frame comfortably supports heavy loads and doubles as a haul frame. Grapple-compression straps securely hold excess gear or clothes. Hip-belt rangefinder pocket keeps your rangefinder within easy reach. Full-depth spotting-scope pocket holds most spotting scopes. NT-7 waterproof, microfleece shell is extremely quiet and sports waterproof external zippers. Breathable mesh back keeps you cool on hot days. Hydration-system compatible. Imported.",http://images.cabelas.com/is/image/Cabelas/s7_461275_594_04?wid=1000|http://images.cabelas.com/is/image/Cabelas/s7_461275_594_04?wid=1000,Eberlestock® Team Elk Pack,329.99,IK-461275,http://www.cabelas.com/product/hunting/hunting-bags-packs/pc/104791680/c/104392080/eberlestock-team-elk-pack/1589719.uts,
