product>>brand,product>>category,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>sku,product>>url,product>>variations
Michael Aram,home|#homegoals,USD,2017-12-07T21:43:20.868Z,"In the designer's own words, the Molten collection is distinguished by ""streamlined, timeless shapes... objects which reverberate with the skill of their maker and yet do not fit into a traditional interpretation of craft. The pieces possess a soulfulness and organic energy only possible through the handmade process.""",https://images.bloomingdales.com/is/image/BLM/products/5/optimized/8722225_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/8722225_fpx.tif,Michael Aram Molten 5-Piece Place Setting,1197985,https://www.bloomingdales.com/shop/product/michael-aram-molten-5-piece-place-setting?ID=1197985,Silver
Villeroy & Boch,home|#homegoals,USD,2017-12-07T21:43:22.342Z,Clean lines and organic shapes lend elegant modernity to your dinner table. A subtle texture and neutral palette allows Villeroy & Boch's Modern Grace to be used daily or for more formal occasions.,https://images.bloomingdales.com/is/image/BLM/products/2/optimized/8554272_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/2/optimized/8554272_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/8/optimized/1213908_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1109485_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/0/optimized/8066630_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/0/optimized/8066630_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/9/optimized/1213909_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/0/optimized/1213910_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1205105_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1213915_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/6/optimized/1213916_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/1/optimized/1213931_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/9/optimized/1213919_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/8/optimized/1213918_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/7/optimized/1213917_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/1/optimized/1213911_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/2/optimized/1213912_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/6/optimized/1213926_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/4/optimized/1213924_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/0/optimized/1213920_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/7/optimized/1213927_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/8/optimized/1213928_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/7/optimized/8566077_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/7/optimized/8566077_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/6/optimized/8566076_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/6/optimized/8566076_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/1/optimized/8850801_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/1/optimized/8850801_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/2/optimized/8554272_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/2/optimized/8554272_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/8/optimized/1213908_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1109485_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/0/optimized/8066630_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/0/optimized/8066630_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/9/optimized/1213909_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/0/optimized/1213910_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1205105_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1213915_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/6/optimized/1213916_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/1/optimized/1213931_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/9/optimized/1213919_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/8/optimized/1213918_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/7/optimized/1213917_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/1/optimized/1213911_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/2/optimized/1213912_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/6/optimized/1213926_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/4/optimized/1213924_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/0/optimized/1213920_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/7/optimized/1213927_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/8/optimized/1213928_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/7/optimized/8566077_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/7/optimized/8566077_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/6/optimized/8566076_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/6/optimized/8566076_fpx.tif,Villeroy & Boch Modern Grace Dinnerware,497114,https://www.bloomingdales.com/shop/product/villeroy-boch-modern-grace-dinnerware?ID=497114,White|Multi|Multi|Multi|White|White|Multi|Multi
Lagostina,home|#homegoals,USD,2017-12-07T21:43:24.007Z,"Showcasing Lagostina's core values of impeccable Italian craftsmanship, technical innovation and elegant design, this ultrastrong grill pan triple-wall construction and a sturdy grooved surface for perfect grilling and searing.",https://images.bloomingdales.com/is/image/BLM/products/6/optimized/8694046_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/6/optimized/8694046_fpx.tif,"Lagostina Accademia Bistecchiera 11"" Grill Pan",1205514,https://www.bloomingdales.com/shop/product/lagostina-accademia-bistecchiera-11-grill-pan?ID=1205514,
Christofle,home|#homegoals,USD,2017-12-07T21:43:24.932Z,Christofle Albi 2 Butter Spreader,https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1271495_fpx.tif,Christofle Albi 2 Flatware,861695,https://www.bloomingdales.com/shop/product/christofle-albi-2-flatware?ID=861695,Silver|Silver|Silver|Silver|Silver|Silver|Silver|Silver|Silver|Silver|Silver|Silver|Silver|Silver|Silver|Silver|Silver|Silver|Silver|Silver|Silver
Iittala,home|#homegoals,USD,2017-12-07T21:43:26.117Z,"Designed by Kaj Franck for Iittala, the Kartio carafe is a perfect balance of pure material and simple geometric form. Stripped of the superfluous, it is clean and timeless.",https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1232615_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/1232615_fpx.tif,"Iittala Kartio Carafe/Pitcher, 1 quart",1239359,https://www.bloomingdales.com/shop/product/iittala-kartio-carafe-pitcher-1-quart?ID=1239359,White
Schmidt Brothers,home|#homegoals,USD,2017-12-07T21:43:27.415Z,"Designed with high-polished, ultra-strong German stainless steel blades and rustic bone handles, Schmidt Brothers� assortment of high-quality knives are cut out for any variety of kitchen tasks.",https://images.bloomingdales.com/is/image/BLM/products/2/optimized/8522292_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/2/optimized/8522292_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/1/optimized/8522291_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/1/optimized/8522291_fpx.tif,Schmidt Brothers Bone 7-Piece Knife Set,1035095,https://www.bloomingdales.com/shop/product/schmidt-brothers-bone-7-piece-knife-set?ID=1035095,Ivory/Cream
OXO,home|#homegoals,USD,2017-12-07T21:43:28.842Z,"GOOD GRIPS Whisks feature polished stainless steel wires and teardrop shaped handles that fit comfortably in the palm of your hand. The soft handle wont slip out of your hand, even when wet. Beat eggs, stir batter, whip cream and stir sauces in comfort. Available in 9"", 11"", 11"" Balloon and Flat versions.",https://images.bloomingdales.com/is/image/BLM/products/8/optimized/9352678_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/8/optimized/9352678_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/0/optimized/55680_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/8/optimized/9352678_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/8/optimized/9352678_fpx.tif,OXO Whisks,75317,https://www.bloomingdales.com/shop/product/oxo-whisks?ID=75317,
Villeroy & Boch,home|#homegoals,USD,2017-12-07T21:43:29.693Z,"Styled with a slender, elongated silhouette, Villeroy & Boch's La Classica flatware brings effortless elegance to any table.",https://images.bloomingdales.com/is/image/BLM/products/0/optimized/8727590_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/0/optimized/8727590_fpx.tif,Villeroy & Boch La Classica 5-Piece Place Setting,1279088,https://www.bloomingdales.com/shop/product/villeroy-boch-la-classica-5-piece-place-setting?ID=1279088,Silver
Simon Pearce,home|#homegoals,,2017-12-07T21:43:31.534Z,"Crafted from pure, lead-free glass by master artisans, Simon Pearce's Hartland collection perfectly blends classic and contemporary style for a look that's well suited for any occasion.",https://images.bloomingdales.com/is/image/BLM/products/9/optimized/8439909_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/9/optimized/8439909_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/6/optimized/8439896_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/6/optimized/8439896_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/1/optimized/8439911_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/1/optimized/8439911_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/0/optimized/8439900_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/0/optimized/8439900_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/3/optimized/8625033_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/3/optimized/8625033_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/9114245_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/9114245_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/9/optimized/8439909_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/9/optimized/8439909_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/6/optimized/8439896_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/6/optimized/8439896_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/1/optimized/8439911_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/1/optimized/8439911_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/0/optimized/8439900_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/0/optimized/8439900_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/3/optimized/8625033_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/3/optimized/8625033_fpx.tif,Simon Pearce Hartland Stemware Collection,1719071,https://www.bloomingdales.com/shop/product/simon-pearce-hartland-stemware-collection?ID=1719071,White|White|White|White|White|White|White|White|White|White|White
Bernardaud,home|#homegoals,USD,2017-12-07T21:43:32.645Z,High-shining platinum details lend a luxe note to Bernardaud serveware.,https://images.bloomingdales.com/is/image/BLM/products/1/optimized/8587361_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/1/optimized/8587361_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/2/optimized/8587362_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/2/optimized/8587362_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/1/optimized/8587361_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/1/optimized/8587361_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/4/optimized/8734464_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/4/optimized/8734464_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/8734465_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/8734465_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/6/optimized/8587366_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/6/optimized/8587366_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/8587365_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/8587365_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/3/optimized/8587363_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/3/optimized/8587363_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/4/optimized/8587364_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/4/optimized/8587364_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/7/optimized/8587367_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/7/optimized/8587367_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/2/optimized/8734472_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/2/optimized/8734472_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/9/optimized/8734469_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/9/optimized/8734469_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/0/optimized/8734470_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/0/optimized/8734470_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/7/optimized/8734467_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/7/optimized/8734467_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/6/optimized/8721846_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/6/optimized/8721846_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/1/optimized/8587361_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/1/optimized/8587361_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/2/optimized/8587362_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/2/optimized/8587362_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/1/optimized/8587361_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/1/optimized/8587361_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/4/optimized/8734464_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/4/optimized/8734464_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/8734465_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/8734465_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/6/optimized/8587366_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/6/optimized/8587366_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/8587365_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/5/optimized/8587365_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/3/optimized/8587363_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/3/optimized/8587363_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/4/optimized/8587364_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/4/optimized/8587364_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/7/optimized/8587367_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/7/optimized/8587367_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/2/optimized/8734472_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/2/optimized/8734472_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/9/optimized/8734469_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/9/optimized/8734469_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/0/optimized/8734470_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/0/optimized/8734470_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/7/optimized/8734467_fpx.tif|https://images.bloomingdales.com/is/image/BLM/products/7/optimized/8734467_fpx.tif,Bernardaud Torsade Dinnerware,1083555,https://www.bloomingdales.com/shop/product/bernardaud-torsade-dinnerware?ID=1083555,White|White|White|White|White|White|White|White|White|White|White|White|White|White|White|White|White|White|White|White|White|White|White|White|White|White|White|White|White
