product>>brand,product>>categories,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>price,product>>sku,product>>url
Happy Socks,men|all,USD,2018-01-19T00:05:18.664Z,"Get set for the festive season with our Holiday Socks Gift Box. This collection of seasonal favorites makes a perfect present for that stylish someone in your life. Three pairs of comfortable combed cotton socks in Christmas shades are decorated with jolly patterns, including red and white candy cane stripes, delicate decorations and tasty golden pretzels - all finished with a candy cane striped box. Available in men's and women's sizes.",https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/x/m/xmas08-4001.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/x/m/xmas08-4001_3.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/x/m/xmas08-4001_2.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/x/m/xmas08-4001_1.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/x/m/xmas08-4000_2_1.png,Pasta Oner Dolphin Sock,21.6,XMAS08-4001,https://www.happysocks.com/us/holiday-socks-gift-box.html
Happy Socks,men|all,USD,2018-01-19T00:05:19.385Z,"Stripes are updated with fun color combos in our vibrant Stripe sock. Add a splash of color to any outfit with these rainbow-hued socks, with a pattern of jolly stripes in navy blue, pink, yellow, red, green, blue and purple. A simple navy blue heel, toe and cuff ties this fun style together. Made from combed cotton for a comfortable feel, and available in sizes 36 to 40 and 41 to 46.",https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/s/t/str01-6001_1.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/S/T/STR01-6001_W.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/S/T/STR01-6001_M.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1920x1024/5deec9155f6bae387a369825a8c81547/S/T/STR01-6001_L.jpg,Stripe Gift Box,7.2,STR01-6001,https://www.happysocks.com/us/stripe-sock-8740.html
Happy Socks,men|all,USD,2018-01-19T00:05:19.576Z,"Enjoy a burst of bold color with our Big Dot socks. Keep your style playful all year round with these colorful, comfortable combed cotton socks. A rainbow of spots in ice blue, bright blue, peach, red, orange, yellow and vivid green are teamed with a dark navy background. The heel, toe and cuff echo shades in the spots, making these a lively part of your outfit. Available in men's and women's sizes.",https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/b/d/bdo01-6001_1.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/B/D/BDO01-6001_W.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/B/D/BDO01-6001_M.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1920x1024/5deec9155f6bae387a369825a8c81547/B/D/BDO01-6001_L.jpg,Dot Hipster,7.2,BDO01-6001,https://www.happysocks.com/us/big-dot-sock-6095.html
Happy Socks,men|all,USD,2018-01-19T00:05:19.768Z,"Your outfit will be ripe for the picking with these Fruit style socks. In this pair, a classic color palette makes this jolly pattern even more fun, with ripe red apples and juicy green pears dotted across a simple navy blue background. Made from cosy combed cotton, these socks feel comfortable all day long - as well as making your outfit stylish and crisp. Available in men's and women's sizes.",https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/F/R/FRU01-6001.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/F/R/FRU01-6001_W.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/F/R/FRU01-6001_M.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1920x1024/5deec9155f6bae387a369825a8c81547/F/R/FRU01-6001_L.jpg,Kids Fruit Sock,7.2,FRU01-6001,https://www.happysocks.com/us/fruit-sock-3.html
Happy Socks,men|all,USD,2018-01-19T00:05:19.956Z,"Decorate your outfit in a sprinkle of color with our Big Dot socks. Contrasting pops of color will make these socks a favourite. A bright blue sock with a cobalt heel and ice blue cuff is the background to a flurry of spots in red, dark red, peach, yellow and black. Made of combed cotton, these socks are comfortable, soft and fun to wear. Available in men's and women's sizes.",https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/B/D/BDO01-6002.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/B/D/BDO01-6002_M.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/B/D/BDO01-6002_W.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1920x1024/5deec9155f6bae387a369825a8c81547/B/D/BDo01-6002_L.jpg,Dot Sock,7.2,BDO01-6002,https://www.happysocks.com/us/big-dot-sock-6183.html
Happy Socks,men|all,USD,2018-01-19T00:05:20.139Z,"Make your outfit pop with these colorful Big Dot socks. Set sail with a sea-worthy combination of navy, white and pillar-box red for a subtle but fun addition to your outfit. White spots on a navy background are finished with a navy cuff, white toe and surprising red heel. Made from combed cotton, these socks will be comfortable all day long. Available in men's and women's sizes.",https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/B/D/BD01-608_2.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/b/d/bd01-608_w_3.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/b/d/bd01-608_m_3.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1920x1024/5deec9155f6bae387a369825a8c81547/B/D/BD01-608_L.jpg,Dot Sock,12,BD01-608,https://www.happysocks.com/us/big-dot-socks-in-classic-navy-white-red.html
Happy Socks,men|all,USD,2018-01-19T00:05:20.327Z,"Be inspired by the beauty of Japan with our Kimono socks. A stylish pattern of cherry blossoms in mid blue, white and red fall delicately down this dark cobalt blue sock, finished with a dark cobalt cuff, heel and toe. Each flower has a contrasting center to make their colors stand out. This striking style is enhanced by combed cotton, meaning these socks are incredibly comfortable to wear. Available in men's and women's sizes.",https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/K/I/KIM01-6000.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/K/I/KIM01-6000_M.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/K/I/KIM01-6000_W.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1920x1024/5deec9155f6bae387a369825a8c81547/K/I/KIM01-6000_L.jpg,Kimono Trunk,7.2,KIM01-6000,https://www.happysocks.com/us/kimono-sock.html
Happy Socks,men|all,USD,2018-01-19T00:05:20.519Z,"Explore the style solar system with our Space socks. A deep, dusky teal background contrasts with a black heel, toe and cuff, but the real star is the out-of-this-world pattern of shooting stars, planets and crescent moons in black, hot pink, yellow, grass green and orange. These socks are an essential for any aspiring astronaut. Available in men's and women's sizes, and made of comfortable combed cotton.",https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/s/p/spa01-6001.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/S/P/SPA01-6001_M.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/S/P/SPA01-6001_W.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1920x1024/5deec9155f6bae387a369825a8c81547/S/P/SPA01-6001_L.jpg,Pasta Oner Dolphin Sock,7.2,SPA01-6001,https://www.happysocks.com/us/space-sock.html
Happy Socks,men|all,USD,2018-01-19T00:05:20.700Z,"Show your love for Happy Socks with our pair of Smile socks. This pair are guaranteed to brighten your day. A fun sunshine yellow sock has contrasting hot pink cuff, heel and toe, with large smiling faces from our iconic brand in white and black. Contrasting-colored smiles and a cheerful color combination mean these are socks to be seen in. Made of comfy combed cotton and available in men's and women's sizes.",https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/S/M/SMI01-2000.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/S/M/SMI01-2000_W.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/S/M/SMI01-2000_M.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1920x1024/5deec9155f6bae387a369825a8c81547/S/M/SMI01-2000_L.jpg,Athletic Smile Sock,7.2,SMI01-2000,https://www.happysocks.com/us/smile-sock.html
Happy Socks,men|all,USD,2018-01-19T00:05:20.885Z,"Our Stripe Gift Box brings together a classic color combination and four unique patterns for a versatile, sophisticated gift. These comfortable, combed cotton socks come in red, cream and blue - a nautical-inspired blend of colors - and our Stripe, Big Dot, Half Stripe and Filled Optic patterns for a mix of traditional and contemporary styles. Available in sizes 36 to 40 and 41 to 46, the set comes in a striped and spotted box in matching shades.",https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/X/B/XBDO09-6000_Box_1_1.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/X/B/XBDO09-6000_2.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/X/B/XBDO09-6000_3.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/X/B/XBDO09-6000_4.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/X/B/XBDO09-6000_5.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/X/B/XBDO09-6000_1.png,Mix Gift Box,45,XBDO09-6000,https://www.happysocks.com/us/big-dot-gift-box-3.html
Happy Socks,men|all,USD,2018-01-19T00:05:21.079Z,"You'll be grinning from ear to ear everytime you pull on our Smile socks. This pair are guaranteed to improve your day and add a fun touch to any outfit.. This black sock with matching cuff, heel and toe features large smiling faces from our iconic brand in bright white and pillar-box red. Contrasting-colored smiles and a bold color combination mean these are socks to be seen in. Made of comfy combed cotton and available in men's and women's sizes.",https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/S/M/SMI01-9000.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/S/M/SMI01-9000_M.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/S/M/SMI01-9000_W.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1920x1024/5deec9155f6bae387a369825a8c81547/S/M/SMI01-9000_L.jpg,Athletic Smile Sock,7.2,SMI01-9000,https://www.happysocks.com/us/smile-sock-3.html
Happy Socks,men|all,USD,2018-01-19T00:05:21.273Z,"This popular pattern meets a fresh color combination in our Stripe sock. We've chosen a classic nautical color blend for this pair, with stripes of navy blue and cream covering the whole sock. A pillar-box red toe, heel and cuff add a pop of color and brightness to this sophisticated style. Available in sizes 36 to 40 and 41 to 46, and made of a comfy combed cotton.",https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/S/A/SA01-045_2.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/s/a/sa01-045_m_1.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1024x600/9d1325c86aa13970ba5272241042ed09/s/a/sa01-045_w_1.png|https://d2zn325e89kysk.cloudfront.net/media/catalog/product/cache/image/1920x1024/5deec9155f6bae387a369825a8c81547/S/A/SA01-045_L.jpg,Kids Stripe Sock,12,SA01-045,https://www.happysocks.com/us/navy-stripe-sock.html
