item>>brand,item>>categories,item>>color,item>>description,item>>gender,item>>image,item>>instock,item>>name,item>>price,item>>rating,item>>seller,item>>sku,item>>total_reviews,item>>url
ТВОЕ,"Одежда, обувь и аксессуары,Женская одежда,Женские брюки,Женские брюки ТВОЕ",светло-серый меланж,,женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/365/220/248/917/234/5/100027282255b0.jpg,yes,Брюки женские ТВОЕ 73783 серые XL,899,5,ТВОЕ,100027282255,2,https://sbermegamarket.ru/catalog/details/sportivnye-bryuki-zhenskie-tvoe-73783-serye-xl-100027282255/
ТВОЕ,"Одежда, обувь и аксессуары,Спортивная одежда, обувь, аксессуары,Женская спортивная одежда,Спортивные брюки и леггинсы женские,Спортивные брюки женские,Спортивные брюки женские ТВОЕ",черный,,женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/909/158/101/219/152/2/100028130143b0.jpg,yes,Спортивные брюки женские ТВОЕ 73783 черные S,899,5,ТВОЕ,100028130143,3,https://sbermegamarket.ru/catalog/details/bryuki-zhenskie-tvoe-73783-chernye-s-100028130143/
MOM №1,"Одежда, обувь и аксессуары,Женская одежда,Женские брюки,Женские брюки MOM №1",черный,"Широкие спортивные штаны-бананы с карманами из легкого хлопчатобумажного трикотажа премиального качества с небольшим содержанием эластана от Российского производителя MOM №1. В штанах можно гулять на улице, заниматься спортом, посещать занятия физкультуры в образовательных учреждениях. Трикотаж приятный на ощупь, не просвечивает. Штаны подходят на любую фигуру благодаря свободному покрою. Правильный уход за изделием подразумевает ручную или машинную стирку на бережном режиме при температуре не выше 30 градусов. На модели представлен размер S, рост модели 170 см, объем талии 63 см, объем бедер 92 см.",женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/130/210/538/182/502/4/600004389393b0.jpeg,yes,Брюки женские MOM №1 MOM-3150 черные 3XL,1290,0,ИП Верещака Наталья Владимировна,600004389393,0,https://sbermegamarket.ru/catalog/details/bryuki-zhenskie-mom-1-mom-3150-chernye-3xl-600004389393/
PUMA,"Одежда, обувь и аксессуары,Спортивная одежда, обувь, аксессуары,Женская спортивная одежда,Спортивные брюки и леггинсы женские,Спортивные брюки женские,Спортивные брюки женские PUMA",желтый,,женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/-93/720/818/112/211/531/100030065990b0.jpg,yes,Спортивные брюки женские PUMA 58684137 желтые S,4242,0,SportPoint,100030065990,0,https://sbermegamarket.ru/catalog/details/bryuki-zhenskie-puma-58684137-zheltye-s-100030065990/
ТВОЕ,"Одежда, обувь и аксессуары,Спортивная одежда, обувь, аксессуары,Женская спортивная одежда,Спортивные брюки и леггинсы женские,Спортивные брюки женские,Спортивные брюки женские ТВОЕ",светло-серый меланж,"Спортивные брюки изготовлены из мягкого, тактильно-приятного материала - футер с начесом. Они удобны, не сковывают движения и согреют в непогоду.",женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/169/136/376/011/917/7/600005520204b0.jpeg,yes,Спортивные брюки женские ТВОЕ 84615 цв. серый р.XL,1299,0,ТВОЕ,600005520204,0,https://sbermegamarket.ru/catalog/details/sportivnye-bryuki-zhenskie-tvoe-84615-cv-seryy-rxl-600005520204/
Jolie Femme,"Одежда, обувь и аксессуары,Спортивная одежда, обувь, аксессуары,Женская спортивная одежда,Спортивные брюки и леггинсы женские,Спортивные брюки женские,Спортивные брюки женские Jolie Femme",черный,"Тёплые трикотажные брюки джоггеры на манжете из плотного футера трехнитка с начёсом. Брюки небольшого объёма, полуприлегающего силуэта приятны к телу, комфортны и практичны. Модель обязательна к рекомендации для базового женского зимнего гардероба. Мы продумали все, чтобы вам было комфортно. Рекомендуем предварительную стирку перед первой ноской, чтобы удалить лишний начес.",женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/-16/394/521/891/125/211/3/600005118680b0.jpeg,yes,Спортивные брюки женские Jolie Femme J032/н-01 черные 52 RU,1307,0,funny-baby,600005118680,0,https://sbermegamarket.ru/catalog/details/sportivnye-bryuki-zhenskie-jolie-femme-j032-n-01-chernye-52-ru-600005118680/
ТВОЕ,"Одежда, обувь и аксессуары,Спортивная одежда, обувь, аксессуары,Женская спортивная одежда,Спортивные брюки и леггинсы женские,Спортивные брюки женские,Спортивные брюки женские ТВОЕ",светло-серый меланж,"Спортивные брюки изготовлены из мягкого, тактильно-приятного материала - футер с начесом. Они удобны, не сковывают движения и согреют в непогоду.",женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/168/960/513/011/917/0/600005520033b0.jpeg,yes,Спортивные брюки женские ТВОЕ 85946 цв. серый р.XS,1799,0,ТВОЕ,600005520033,0,https://sbermegamarket.ru/catalog/details/sportivnye-bryuki-zhenskie-tvoe-85946-cv-seryy-rxs-600005520033/
A passion play,"Одежда, обувь и аксессуары,Спортивная одежда, обувь, аксессуары,Женская спортивная одежда,Спортивные брюки и леггинсы женские,Спортивные брюки женские,Спортивные брюки женские A passion play",белый,,женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/464/128/166/121/515/30/100027736570b0.jpg,yes,Спортивные брюки женские A passion play SQ64152 белые M,900,0,5КармаNов,100027736570,0,https://sbermegamarket.ru/catalog/details/sportivnye-bryuki-zhenskie-a-passion-play-sq64152-belye-m-100027736570/
MOM №1,"Одежда, обувь и аксессуары,Спортивная одежда, обувь, аксессуары,Женская спортивная одежда,Спортивные брюки и леггинсы женские,Спортивные брюки женские,Спортивные брюки женские MOM №1",черный,Женские узкие брюки с манжетами внизу. Высокая посадка. Удобны для ношения дома и на улице.Уход за вещами: бережная стирка при 30 градусах; гладить при t не более 150С; деликатная химическая чистка в щадящем режиме; отбеливание запрещено,женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/183/308/234/812/281/319/600003032374b0.jpeg,yes,Спортивные брюки женские MOM №1 MOM-0137 черные XL,1450,0,ИП Верещака Наталья Владимировна,600003032374,0,https://sbermegamarket.ru/catalog/details/sportivnye-bryuki-zhenskie-mom-1-mom-0137-chernye-xl-600003032374/
MOM №1,"Одежда, обувь и аксессуары,Женская одежда,Женские брюки,Женские брюки MOM №1",серый меланж,"Широкие спортивные штаны-бананы с карманами из легкого хлопчатобумажного трикотажа премиального качества с небольшим содержанием эластана от Российского производителя MOM №1. В штанах можно гулять на улице, заниматься спортом, посещать занятия физкультуры в образовательных учреждениях. Трикотаж приятный на ощупь, не просвечивает. Штаны подходят на любую фигуру благодаря свободному покрою. Правильный уход за изделием подразумевает ручную или машинную стирку на бережном режиме при температуре не выше 30 градусов. На модели представлен размер S, рост модели 170 см, объем талии 63 см, объем бедер 92 см.",женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/130/276/174/482/502/4/600004389404b0.jpeg,yes,Брюки женские MOM №1 MOM-3150 серые XL,1290,0,ИП Верещака Наталья Владимировна,600004389404,0,https://sbermegamarket.ru/catalog/details/bryuki-zhenskie-mom-1-mom-3150-serye-xl-600004389404/
