product>>brand,product>>categories,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>price,product>>sku,product>>url,product>>variations
Eddie Bauer,Men|Outerwear|Down Insulated,USD,2018-01-12T09:54:34.160Z,"No matter what kind of weather winter throws at you, this parka has you covered. Waterproof/breathable nylon shell turns away rain, sleet, snow, or hail. The 650 Premium Down insulation keeps you warm even when the mercury goes sub-zero. Inner, rib-knit storm cuffs further seal out the cold.",http://eddiebauer.scene7.com/is/image/EddieBauer/D0015571_100C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0015571_123C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0015571_271C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0015571_488C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0015571_537C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0015571_537P4?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0015571_271F1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0015571_537P3?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0015571_271B1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0015571_271P1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0015571_537P2?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0015571_537P1?$xLargeV2$,Men's Superior Down Parka,229.99,i01 792 5571,http://www.eddiebauer.com/product/mens-superior-down-parka/10112068,Black|Dk Charcoal Htr|Tortoise|Med Indigo|Dk Loden
Eddie Bauer,Men|Outerwear|Down Insulated,USD,2018-01-12T09:54:38.918Z,"Updated this year with a removable faux fur hood ruff. Still with the superior weather protection and warmth no matter what winter throws at you. Waterproof/breathable nylon shell turns away rain, sleet, snow, or hail. The 650 Premium Down insulation keeps you warm even when the mercury goes sub-zero. Inner, rib-knit storm cuffs further seal out the cold.",http://eddiebauer.scene7.com/is/image/EddieBauer/D0010093_100C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0010093_123C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0010093_488C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0010093_613C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0010093_488P3?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0010093_488F1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0010093_488P5?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0010093_488P2?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0010093_488P1?$xLargeV2$,Men's Superior 2.0 Down Jacket,194.99,i01 792 0093,http://www.eddiebauer.com/product/mens-superior-20-down-jacket/10112146,Black|Dk Charcoal Htr|Med Indigo|Dk Garnet
Eddie Bauer,Men|Outerwear|Down Insulated,USD,2018-01-12T09:54:45.232Z,"Classic: Our most universal fit. Not too slim, not too relaxed on body. Designed to fit over midweight layers.",http://eddiebauer.scene7.com/is/image/EddieBauer/D0883732_100C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0883732_182C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0883732_488C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0883732_630C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0883732_685C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0883732_755C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0883732_855C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0883732_871C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0883732_182F1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0883732_182P5?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0883732_182P4?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0883732_182P1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0883732_182P2?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0883732_182P6?$xLargeV2$,Men's Downlight StormDown Jacket,174.99,i88 792 0109,http://www.eddiebauer.com/product/mens-downlight-stormdown-jacket/38832283,Black|Storm|Med Indigo|Dk Berry|Dk Smoke Htr|Dk Pine|True Blue|Cedar Green
Eddie Bauer,Men|Outerwear|Down Insulated,USD,2018-01-12T09:54:51.385Z,"Classic: Our most universal fit. Not too slim, not too relaxed on body. Designed to fit over midweight layers.",http://eddiebauer.scene7.com/is/image/EddieBauer/D0883733_100C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0883733_182C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0883733_488C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0883733_610C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0883733_630C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0883733_685C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0883733_871C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0883733_182P2?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0883733_182F1?$xLargeV2$,Men's Downlight StormDown Hooded Jacket,189.99,i88 792 0110,http://www.eddiebauer.com/product/mens-downlight-stormdown-hooded-jacket/38832284,Black|Storm|Med Indigo|Ochre|Dk Berry|Dk Smoke Htr|Cedar Green
Eddie Bauer,Men|Outerwear|Down Insulated,USD,2018-01-12T09:54:53.949Z,Active: Our most athletic fit. Close to the body without restricting mobility. Designed to fit over baselayers and lighweight midlayers.,http://eddiebauer.scene7.com/is/image/EddieBauer/D0880848_039C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0880848_100C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0880848_182C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0880848_271C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0880848_295C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0880848_400C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0880848_485C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0880848_537C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0880848_661C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0880848_707C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0880848_400P2?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0880848_400F1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0880848_400P3?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0880848_400P4?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0880848_400P1?$xLargeV2$,Men's MicroTherm® StormDown® Jacket,99.99,i88 792 0848,http://www.eddiebauer.com/product/mens-microtherm-stormdown-jacket/38832204,Cardinal|Black|Storm|Tortoise|Wave|Navy|Carbon|Dk Loden|Dk Green|Dk Smoke
Eddie Bauer,Men|Outerwear|Down Insulated,USD,2018-01-12T09:55:00.658Z,"An Eddie Bauer Original—and the first down jacket patented in America—the Skyliner started a revolution in cold-weather outerwear. Classic bomber style with signature diamond quilting. 650 fill Premium Down insulation for exceptional warmth. Rib-knit collar, cuffs, and hem.",http://eddiebauer.scene7.com/is/image/EddieBauer/D0010024_100C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0010024_123C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0010024_219C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0010024_334C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0010024_334F1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0010024_334P2?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0010024_334P3?$xLargeV2$,Men's 1936 Skyliner Model Down Jacket,139.99,i01 792 0024,http://www.eddiebauer.com/product/mens-1936-skyliner-model-down-jacket/10112110,Black|Dk Charcoal Htr|Bark|Cadet
Eddie Bauer,Men|Outerwear|Jackets,USD,2018-01-12T09:55:05.018Z,"Waterproof protection plus sub-zero warmth is what you'll get with this hardworking down jacket. Fully seam-sealed construction ensures maximum weather resistance, and the 650 fill Premium Down insulation provides exceptional warmth without weight or bulk.",http://eddiebauer.scene7.com/is/image/EddieBauer/D0010103_100C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0010103_123C1?$xLargeV2$,Men's Superior Down Bomber Jacket,159.99,i01 792 0103,http://www.eddiebauer.com/product/mens-superior-down-bomber-jacket/10112138,Black|Dk Charcoal Htr
Eddie Bauer,Men|Outerwear|Down Insulated,USD,2018-01-12T09:55:10.683Z,"Classic: Our most universal fit. Not too slim, not too relaxed on body. Designed to fit over midweight layers.",http://eddiebauer.scene7.com/is/image/EddieBauer/D0015629_100C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0015629_271C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0015629_488C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0015629_707C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0015629_488F1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0015629_488P2?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0015629_488P1?$xLargeV2$,Men's Boundary Pass Parka,139.99,i01 792 5629,http://www.eddiebauer.com/product/mens-boundary-pass-parka/10112093,Black|Tortoise|Med Indigo|Dk Smoke
Eddie Bauer,Men|Outerwear|Down Insulated,USD,2018-01-12T09:55:14.986Z,"Classic: Our most universal fit. Not too slim, not too relaxed on body. Designed to fit over midweight layers.",http://eddiebauer.scene7.com/is/image/EddieBauer/D0880171_100C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0880171_182C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0880171_855C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0880171_182P2?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0880171_182P1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0880171_100P1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0880171_182P4?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0880171_855P1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0880171_182P5?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0880171_182P3?$xLargeV2$,Men's EverTherm Down Hooded Jacket,279,i88 792 0171,http://www.eddiebauer.com/product/mens-evertherm-down-hooded-jacket/38832324,Black|Storm|True Blue
Eddie Bauer,Men|Outerwear|Down Insulated,USD,2018-01-12T09:55:19.211Z,"Classic: Our most universal fit. Not too slim, not too relaxed on body. Designed to fit over midweight layers.",http://eddiebauer.scene7.com/is/image/EddieBauer/D0880163_039C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0880163_147C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/D0880163_182C1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0880163_039P6?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0880163_039P1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0880163_147P1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0880163_039P4?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0880163_039P5?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0880163_182P1?$xLargeV2$|http://eddiebauer.scene7.com/is/image/EddieBauer/0880163_039F1?$xLargeV2$,Men's EverTherm Down Jacket,249,i88 792 0163,http://www.eddiebauer.com/product/mens-evertherm-down-jacket/38832325,Cardinal|Onyx|Storm
