item>>brand,item>>categories,item>>description,item>>image,item>>instock,item>>manufactorer,item>>price,item>>sku,item>>title,item>>total_reviews,item>>url
,"Косметика,Для волос,Шампуни","Инструкция по применению
                                    Описание:
                    Ринфолтил шампунь Коллаген.

Мягкая формула шампуня бережно очищает кожу головы и волосы, не нарушая их естественный защитный барьер.
Действие шампуня направлено на восстановление структуры поврежденных волос. Коллаген - один из основных структурных белков в организме, с возрастом его количество в организме снижается, волосы выпадают, теряют прочность и эластичность. Гидролизованный коллаген в составе активной формулы шампуня эффективно насыщает волосы необходимым белком, активизирует их рост и предотвращает повышенное выпадение волос, стимулирует выработку кератина волосяными фолликулами, улучшает качество волос.
Масла арганы и жожоба насыщают волосы необходимыми питательными веществами, делают их более сильными, густыми и здоровыми. В результате применения шампуня волосы становятся крепкими, эластичными, блестящими, приобретают дополнительный объем, благодаря чему волосы выглядят более густыми.

                                                    Состав:
                    Aqua, Cocamidopropyl betaine, Disodium laureth sulfosuccinate, Glycerin, Sodium chloride, Ammonium lauryl sulfate, Phenoхyethanol, Parfum (Fragrance), Maltooligosyl glucoside, Hydrolyzed collagen, Panthenol, Polyquaternium-10, Salicylic acid, Hydrogenated starch hydrolysate, Guar hydroxypropyltrimonium chloride, Sodium glycolate, Benzoic acid, Lactic acid, Argania spinosa kernel oil, Simmondsia chinensis (Jojoba) seed oil, Tetrasodium glutamate diacetate, Dehydroacetic acid, Ethylhexylglycerin, Linalool, Methyl benzoate, Benzyl alcohol, Limonene.
                                                    Показания к применению:
                    Шампунь восстанавливающий, с коллагеном, для роста волос.
                                                                                    Противопоказания:
                    Индивидуальная непереносимость компонентов.
                                                    Побочные действия:
                    Информация отсутствует.      
                                                    Способ приготовления или применения:
                    Нанесите шампунь на мокрые волосы и массирующими движениями распределите от корней до кончиков. Оставьте пену на несколько минут, затем тщательно смойте большим количеством воды. При необходимости повторите. Подходит для длительного применения, в том числе для ежедневного использования.
 
                                                                    Условия хранения:
                    Хранить в сухом, защищенном от света месте, при температуре не выше 25°С.
Хранить в недоступном для детей месте.",https://xn--n1aalg.xn--80ae2aeeogi5fxc.xn--p1ai/s/gi/no/600x600.png,yes,Фармалайф Рисеч С.Р.Л.,1650,1776561,Ринфолтил шампунь Коллаген,0,https://monastirev.ru/offer/vladivostok/1110194985/rinfoltil-shampun-kollagen
,"Косметика,Для волос,Шампуни","Инструкция по применению
                                    Описание:
                    Ринфолтил шампунь Силекс Усиленная формула против выпадения волос с кремнием .

Шампунь Ринфолтил Силекс содержит экстракт карликовой пальмы, останавливающий выпадение волос, и минерализующий Silex Complex с кремнием. Идеально очищает и подготавливает волосы и кожу головы к нанесению лосьона Ринфолтил. 

Программа Ринфолтил состоит из трех компонентов и включает лосьон, биологическую добавку и шампунь. Каждый компонент можно использовать независимо, но их совместное применение дает наилучший эффект.

                                                    Состав:
                    Вода, жирные кислоты кокосового масла, кватернизованные соевые белки, гликолевый экстракт проса, солкват, гликолевый экстракт хвоща полевого, пантенол, лимонная кислота, анагелин (экстракт белого сладкого люпина), октопирокс,аргановое масло, парфюмерная отдушка, экстракт карликовой пальмы сереноа ползучей.

                                                    Показания к применению:
                    Против выпадения волос.Подходит для ежедневного использования.

                                                                                    Противопоказания:
                    Индивидуальная непереносимость компонентов.
                                                    Побочные действия:
                    Информация отсутствует.
                                                    Способ приготовления или применения:
                    Нанесите небольшое количество шампуня на мокрые волосы, осторожно массируя Оставьте пену на несколько минут, затем смойте большим количеством воды
Необходимо применять шампунь не менее 4 месяцев .Рекомендовано совместное применение шампуня Ринфолтил Силекс и лосьона Ринфолтил Силекс.
                                                                    Условия хранения:
                    Хранить в  защищенном от прямых солнечных лучей месте, при комнатной температуре.",https://xn--n1aalg.xn--80ae2aeeogi5fxc.xn--p1ai/s/gi/prod/00/00/12/01/30/rinfoltil-shampun-sileks-usilennaya-formula-600x600.jpg,yes,Фармалайф Рисеч,1563,276351,Ринфолтил шампунь Силекс Усиленная формула,0,https://monastirev.ru/offer/vladivostok/1101160169/rinfoltil-shampun-sileks-usilennaia-formula
,"Косметика,Для волос,Шампуни","Инструкция по применению
                                    Описание:
                    Ринфолтил шампунь Усилен формула.

Основной компонент, действующий против выпадения волос и облысения, в составе средств Ринфолтил - экстракт ягод карликовой пальмы Serenoa Repens, яркий представитель класса Фито-ингибиторов 5-альфа-редуктазы. Этот компонент содержится в одинаковой дозировке и в классическом Ринфолтиле, и в серии Ринфолтил Эспрессо.
Благодаря экстракту карликовой пальмы Ринфолтил действует сразу по двум направлениям:
Снижает количество токсичного для волос дигидротестостерона в коже волосистой части головы.
Снижает восприимчивость волосяных луковиц к действию «ядовитого» гормона.

Именно дигидротестостерон в совокупности с чувствительными к нему волосяными луковицами являются причиной потери волос при андрогенной алопеции. В результате Ринфолтил останавливает процесс отравления волосяных фолликулов токсичным гормоном. Запускается активный рост волос и они вновь возвращаются к жизни. По мере лечения, восстанавливается толщина и пигментация волос, прекращается избыточное выпадение.
Серия Ринфолтил содержит два разных шампуня – шампунь «Усиленная формула от выпадения волос» и шампунь «Укрепление слабых волос».
Трихологический шампунь Ринфолтил «Усиленная формула от выпадения волос» используется как дополнение к лечению волос ампулами Ринфолтил, подготавливает кожу головы к нанесению раствора.
Трихологический шампунь Ринфолтил «Укрепление слабых волос» используется как дополнение к профилактике выпадения волос и облысения лосьоном Ринфолтил, подготавливает кожу головы к его нанесению.
Шампуни Ринфолтил не содержат агрессивных косметических добавок, негативно влияющих на ослабленные волосы, мягко очищают кожу головы и обеспечивают максимальное проникновение раствора из ампул или лосьона Ринфолтил. Также шампуни используется в перерывах между курсами лечения для поддержания стойкого эффекта. Мягкая, pH-нейтральная основа позволяет использовать шампуни без ограничений, каждый день.
                                                    Состав:
                    Активные компоненты:
Ягоды карликовой пальмы Serenoa Repens (или Saw Palmetto), кофеин, Гинкго Билоба, Женьшень, Мята перечная, Настурция большая, Камелия китайская.
                                                    Показания к применению:
                    Для укрепления волос. Пригоден для ежедневного использования. 
                                                                                    Противопоказания:
                    Индивидуальная непереносимость компонентов.
                                                    Побочные действия:
                    Информация отсутствует.      
                                                    Способ приготовления или применения:
                    Подготавливает кожу головы к нанесению раствора в фиалах Ринфолтил. Нанесите небольшое количество шампуня на мокрые волосы, осторожно массируя. Оставьте пену на несколько минут, затем смойте большим количеством воды. Рекомендовано совместное применение с фиалами Ринфолтил.

 
                                                                    Условия хранения:
                    Хранить в сухом, защищенном от света месте, при температуре не выше 25°С.
Хранить в недоступном для детей месте.",https://xn--n1aalg.xn--80ae2aeeogi5fxc.xn--p1ai/s/gi/prod/00/00/00/58/29/rinfoltil-shampun-usilennaya-formula-600x600.jpg,yes,Фармалайф Рисёч,1275,5791,Ринфолтил шампунь Усиленная формула,0,https://monastirev.ru/offer/vladivostok/5791/rinfoltil-shampun-usilennaia-formula
,"Косметика,Для волос,Шампуни","Инструкция по применению
                                    Описание:
                    Оригинальный шампунь Ринфолтил Эспрессо предназначен для прекращения процесса выпадения волос и для активного стимулирования их роста. Шампунь может использоваться как мужчинами, так и женщинами в любом возрасте. Консистенция средства жидкая, шампунь быстро и удобно распределяется по волосам и легко смывается, хорошо очищает волосы и подготавливает к нанесению лосьона от облысения. 

Ринфолтил шампунь дает двойной результат. Ягоды карликовой пальмы нейтрализуют действие андрогенов дигидротестостерона, которые чаще всего являются причиной облысения. Концентрат кофе активно стимулирует рост любых волос и их обновление. Свойства кофеина активизировать рост волос выявлено относительно недавно, но по данным исследований тенденция к улучшению роста волос при внешнем воздействии кофеина наблюдается уже спустя несколько применений и становится устойчивой при регулярном использовании шампуня Ринфолтил Эспрессо. 

                                                    Состав:
                    Кофеин, глицин, пантенол, пиритион цинка, лимонная к-та, нитрат магния.


                                                    Показания к применению:
                    Средство от выпадении волос. 
                                                                                    Противопоказания:
                    Индивидуальная непереносимость компонентов.

                                                    Побочные действия:
                    Лосьон Ринфолтил содержит спирт. Поэтому, во избежание раздражения, при контакте препарата со слизистой оболочкой глаз и другими чувствительными тканями необходимо промыть этот участок большим количеством прохладной воды.
                                                    Способ приготовления или применения:
                    Использовать согласно прилагаемой инструкции.
                                                                    Условия хранения:
                    Хранить в сухом, прохладном защищенном от света и недоступном для детей месте.",https://xn--n1aalg.xn--80ae2aeeogi5fxc.xn--p1ai/s/gi/prod/00/00/17/30/47/rinfoltil-shampun-espresso-usilennaya-formula-600x600.jpg,yes,Фармалайф Рисеч С.Р.Л.,1570,836013,Ринфолтил шампунь Эспрессо Усиленная формула,0,https://monastirev.ru/offer/vladivostok/1102830284/rinfoltil-shampun-espresso-usilennaia-formula
Натура Сиберика (Natura Siberica),"Косметика,Для волос,Шампуни","Инструкция по применению
                                    Описание:
                    Био шампунь восстановление поврежденных волос PRO-OIL REPAIR Altai Cedar Bark Эффективное преображение ломких и поврежденных волос. Насыщенная формула восстанавливает баланс питания от корней до самых кончиков. Волосы становятся легкими и одновременно более крепкими.

Гладкие и послушные 
Упругость и шелковистый блеск 
Защита от пересушивания во время укладки

 АЛТАЙСКИЙ КЕДР — ЭНДЕМИК ТАЙГИ Кора алтайского кедра содержит эффективную комбинацию витаминов С, F и феруловой кислоты, в 8 раз увеличивающую защитную функцию кожи и волос, наполняет их невероятной силой. В таежной морошке содержание витамина Е – главного витамина молодости, в 3 раза выше, чем в масле кокоса и в 5 раз выше, чем в оливковом. Органическое масло таежной морошки эффективно восстанавливает и придает волосам ухоженный вид и роскошный блеск. Vegetal кератин разглаживает волосы по всей длине, придавая им мягкость и шелковистость.
                                                    Состав:
                    Aqua with infusions of Organic Pinus Sibirica Bark Water (органический гидролат коры алтайского кедра), Organic Rubus Chamaemorus Seed Oil (органическое масло таежной морошки), Schizandra Chinensis Fruit ExtractFE (экстракт лимонника нанайского), Organic Pinus Sibirica Seed Oil (органическое масло высокогорного алтайского кедра), Rhododendron Adamsii Leaf/Stem ExtractFE (экстракт саган-дайля), Salix Alaxensis Bark ExtractWH (экстракт ивы аляскинской), Crataegus Dahurica Leaf ExtractWH (экстракт боярышника даурского), Eleutherococcus Senticosus ExtractWH (экстракт женьшеня сибирского), Organic Calendula Officinalis Flower Extract (органический экстракт календулы), Organic Dasiphora Fruticosa Extract (органический экстракт курильского чая), Organic Hippophae Rhamnoides Fruit Extract (органический экстракт облепихи алтайской); Sodium Coco-Sulfate, Cocamidopropyl Betaine, Lauryl Glucoside, Hydrolyzed Vegetable Protein (растительный кератин), Pineamidopropyl BetainePS, Hippophae Rhamnoidesamidopropyl BetaineHR, Sodium Chloride, Guar Hydroxypropyltrimonium Chloride, Niacinamide (витамин PP), Citric Acid, Benzyl Alcohol, Benzoic Acid, Sorbic Acid, Parfum, CI 77491, CI 77492, CI 77499, Limonene. (WH)- Органические экстракты дикорастущих растений (FE) – Свежие экстракты дикорастущих растений (HR) - Производное масла алтайской облепихи (PS)- Производное масла сибирского кедра
                                                    Показания к применению:
                    Для поврежденных волос.
                                                                                    Противопоказания:
                    Индивидуальная непереносимость компонентов.
                                                    Побочные действия:
                    Информация отсутствует.
                                                    Способ приготовления или применения:
                    Нанести шампунь на влажные волосы, вспенить массирующими движениями, подержать 1-2 минуты, смыть водой. При необходимости повторить процедуру.
                                                                    Условия хранения:
                    Хранить при комнатной температуре",https://xn--n1aalg.xn--80ae2aeeogi5fxc.xn--p1ai/s/gi/prod/00/00/29/51/26/shampun--bio-natura-siberika-natura-siberica-doktor-tayga-vosstanovlenie-600x600.jpg,yes,Натура Сиберика ООО,283,1735716,Шампунь -био Натура Сиберика (Natura Siberica) Доктор Тайга Восстановление,0,https://monastirev.ru/offer/vladivostok/1110154140/shampun-bio-natura-siberika-natura-siberica-doktor-taiga-vosstanovlenie
Натура Сиберика (Natura Siberica),"Косметика,Для волос,Шампуни","Инструкция по применению
                                    Описание:
                    Био шампунь защита цвета для окрашенных волос ULTRA SHINE+ Siberian Juniper Berry Интенсивно увлажняет тусклые в результате окрашивания волосы, возвращает им роскошный сияющий блеск. Надолго сохраняет яркость и насыщенность цвета, препятствуя вымыванию пигмента. Облегчает расчесывание Защищает от негативных воздействий окружающей среды Эффект натурального ламинирования 

ДИКИЙ СИБИРСКИЙ МОЖЖЕВЕЛЬНИК — ДРЕВНЕЕ И МИСТИЧЕСКОЕ РАСТЕНИЕ ТАЙГИ. Органическое масло дикого сибирского можжевельника содержит максимум AHA-кислот и витамина С, усиливающих яркость цвета и блеск. Высокое содержание воска и смол создает эффект биоламинирования, обволакивая и восстанавливая структуру волос. Таежная красника богата антиоксидантами, эффективно тонизирует, укрепляет и возвращает жизненные силы волосам после окрашивания.
                                                    Состав:
                    Aqua with infusions of Organic Pinus Sibirica Bark Water (органический гидролат коры алтайского кедра), Organic Rubus Chamaemorus Seed Oil (органическое масло таежной морошки), Schizandra Chinensis Fruit ExtractFE (экстракт лимонника нанайского), Organic Pinus Sibirica Seed Oil (органическое масло высокогорного алтайского кедра), Rhododendron Adamsii Leaf/Stem ExtractFE (экстракт саган-дайля), Salix Alaxensis Bark ExtractWH (экстракт ивы аляскинской), Crataegus Dahurica Leaf ExtractWH (экстракт боярышника даурского), Eleutherococcus Senticosus ExtractWH (экстракт женьшеня сибирского), Organic Calendula Officinalis Flower Extract (органический экстракт календулы), Organic Dasiphora Fruticosa Extract (органический экстракт курильского чая), Organic Hippophae Rhamnoides Fruit Extract (органический экстракт облепихи алтайской); Sodium Coco-Sulfate, Cocamidopropyl Betaine, Lauryl Glucoside, Hydrolyzed Vegetable Protein (растительный кератин), Pineamidopropyl BetainePS, Hippophae Rhamnoidesamidopropyl BetaineHR, Sodium Chloride, Guar Hydroxypropyltrimonium Chloride, Niacinamide (витамин PP), Citric Acid, Benzyl Alcohol, Benzoic Acid, Sorbic Acid, Parfum, CI 77491, CI 77492, CI 77499, Limonene. (WH)- Органические экстракты дикорастущих растений (FE) – Свежие экстракты дикорастущих растений (HR) - Производное масла алтайской облепихи (PS)- Производное масла сибирского кедра
                                                    Показания к применению:
                    Для окрашенных волос.
                                                                                    Противопоказания:
                    Индивидуальная непереносимость компонентов.
                                                    Побочные действия:
                    Информация отсутствует.
                                                    Способ приготовления или применения:
                    Нанести шампунь на влажные волосы, вспенить массирующими движениями, подержать 1-2 минуты, смыть водой. При необходимости повторить процедуру.
                                                                    Условия хранения:
                    Хранить при комнатной температуре.",https://xn--n1aalg.xn--80ae2aeeogi5fxc.xn--p1ai/s/gi/prod/00/00/29/51/28/shampun--bio-natura-siberika-natura-siberica-doktor-tayga-zaschita-tsveta-600x600.JPG,yes,Натура Сиберика ООО,283,1735718,Шампунь -био Натура Сиберика (Natura Siberica) Доктор Тайга Защита цвета,0,https://monastirev.ru/offer/vladivostok/1110154142/shampun-bio-natura-siberika-natura-siberica-doktor-taiga-zashchita-tsveta
Натура Сиберика (Natura Siberica),"Косметика,Для волос,Шампуни","Инструкция по применению
                                    Описание:
                    Био шампунь для супер свежести и объема волос VOLUME & FRESH Tuva White Birch Идеальное сочетание свежести и легкости. Благодаря восстановлению оптимального баланса кожи головы и отсутствию в составе силиконов, волосы у корней сохраняют силу и упругий объем. Супер объем без утяжеления Наполняет свежестью и легкостью Укрепляет тонкие и ослабленные волосы.

БЕЛАЯ БЕРЕЗА — ТАЕЖНЫЙ СУПЕРФУД ДЛЯ ВОЛОС. Гидролат белой тувинской березы на 85% состоит из бетулиновой кислоты – таежного суперфуда и антиоксиданта для волос. В дикой ледяной мяте содержание эфирного масла до 5 раз выше, чем в обычной. Эффективно тонизирует и освежает кожу головы, придает волосам здоровый блеск и силу.AHA – кислоты сахалинской арники обновляют и оздоравливают кожу головы, способствуя укреплению корней и росту новых волос.
                                                    Состав:
                     Aqua with infusions of Organic Betula Alba Leaf Water (органический гидролат белой тувинской березы), Organic Mentha Pipeita Leaf Extract (органический экстракт ледяной мяты), Organic Arnica Montana Flower Extract (органический экстракт сахалинской арники); Malic Acid, Lactic Acid (AHA- кислоты); Schizandra Chinensis Fruit ExtractFE (экстракт лимонника нанайского), Rhododendron Adamsii Leaf/Stem ExtractFE (экстракт саган-дайля), Geranium Sibiricum ExtractWH (экстракт герани сибирской), Achillea Asiatica Flower/Leaf/Stem ExtractWH (экстракт тысячелистника хакасского), Corispermum Sibiricum Flower/Leaf/Stem ExtractWH (экстракт амаранта сибирского), Organic Calendula Officinalis Flower Extract (органический экстракт календулы сибирской), Organic Dasiphora Fruticosa Extract (органический экстракт курильского чая), Organic Rosa Davurica Leaf Extract (органический экстракт розы даурской); Sodium Coco-Sulfate, Cocamidopropyl Betaine, Lauryl Glucoside, Pineamidopropyl BetainePS, Hippophae Rhamnoidesamidopropyl BetaineHR, Sodium Chloride, Guar Hydroxypropyltrimonium Chloride, Niacinamide (витамин PP), Citric Acid, Benzyl Alcohol, Benzoic Acid, Sorbic Acid, Parfum, Limonene. (WH)- Органические экстракты дикорастущих растений (FE) – Свежие экстракты дикорастущих растений (HR) - Производное масла алтайской облепихи (PS)- Производное масла сибирского кедра.
                                                    Показания к применению:
                    Для волос.
                                                                                    Противопоказания:
                    Индивидуальная непереносимость компонентов.
                                                    Побочные действия:
                    Информация отсутствует.
                                                    Способ приготовления или применения:
                    Нанести шампунь на влажные волосы, вспенить массирующими движениями, подержать 1-2 минуты, смыть водой. При необходимости повторить процедуру.
                                                                    Условия хранения:
                    Хранить при комнатной температуре",https://xn--n1aalg.xn--80ae2aeeogi5fxc.xn--p1ai/s/gi/prod/00/00/29/51/30/shampun--bio-natura-siberika-natura-siberica-doktor-tayga-osvezhayuschiy-600x600.jpg,yes,Натура Сиберика ООО,246,1735720,Шампунь -био Натура Сиберика (Natura Siberica) Доктор Тайга Освежающий,0,https://monastirev.ru/offer/vladivostok/1110154144/shampun-bio-natura-siberika-natura-siberica-doktor-taiga-osvezhaiushchii
Натура Сиберика (Natura Siberica),"Косметика,Для волос,Шампуни","Инструкция по применению
                                    Описание:
                    Шампунь -био Натура Сиберика (Natura Siberica) Доктор Тайга Увлажняющий для сухих волос на сахалинском бамбуке .

Глубоко проникает в структуру волос, уменьшая ломкость и защищая от внешних повреждений. Придает мягкость и блеск. 
Максимальное увлажнение по всей длине. 
Гладкость и ультра сияние. 
Сильные и упругие волосы. 

Сахалинский бамбук — таежный источник увлажнения. Дикий сахалинский бамбук содержит высокую концентрацию кремниевой кислоты. Она способствует укреплению и увлажнению волос, придает им живой блеск и сияние, облегчает расчесывание. Гиалуроновая кислота глубоко проникает в структуру волоса, удерживая влагу. Гидролат линнеи северной содержит природные антиоксиданты – флавоноиды, которые значительно снижают риск повреждения волос в результате воздействия агрессивных факторов окружающей среды, придают мягкость и гладкость.
                                                    Состав:
                    Aqua with infusions of organic sasa kurilensis leaf/stem extract (органический экстракт сахалинского бамбука), organic linnaea borealis water (органический гидролат цветков линнеи северной), schizandra chinensis fruit extractfe (экстракт лимонника нанайского), rhododendron adamsii leaf/stem extractfe (экстракт саган-дайля), laminaria japonica extractwh (экстракт ламинарии аинской), plantago asiatica leaf/stem extractwh (экстракт ханского подорожника), usnea barbata extractwh (экстракт уснеи снежной), organic silybum marianum fruit extract (органический экстракт сибирского чертополоха), organic hippophae rhamnoides fruit extract (органический экстракт облепихи алтайской), organic melissa officinalis leaf extract (органический экстракт мелиссы сибирской); sodium coco-sulfate, cocamidopropyl betaine, lauryl glucoside, sodium hyaluronate (гиалуроновая кислота), pineamidopropyl betaineps, hippophae rhamnoidesamidopropyl betainehr, sodium chloride, guar hydroxypropyltrimonium chloride, niacinamide (витамин pp), citric acid, benzyl alcohol, benzoic acid, sorbic acid, parfum, ci 77288, citronellol, hydroxycitronellal, linalool.


                                                    Показания к применению:
                    Для сухих волос.
                                                                                    Противопоказания:
                    Индивидуальная непереносимость компонентов.
                                                    Побочные действия:
                    Информация отсутствует.
                                                    Способ приготовления или применения:
                    Нанести шампунь на влажные волосы, вспенить массирующими движениями, подержать 1-2 минуты, смыть водой. При необходимости повторить процедуру.
                                                                    Условия хранения:
                    Хранить при комнатной температуре.",https://xn--n1aalg.xn--80ae2aeeogi5fxc.xn--p1ai/s/gi/prod/00/00/28/68/13/shampun--bio-natura-siberika-natura-siberica-doktor-tayga-uvlazhnyayuschiy-600x600.JPG,yes,Натура Сиберика ООО,339,1727427,Шампунь -био Натура Сиберика (Natura Siberica) Доктор Тайга Увлажняющий,0,https://monastirev.ru/offer/vladivostok/1110145851/shampun-bio-natura-siberika-natura-siberica-doktor-taiga-uvlazhniaiushchii
Натура Сиберика (Natura Siberica),"Косметика,Для волос,Шампуни","Инструкция по применению
                                    Описание:
                    Шампунь -био Натура Сиберика (Natura Siberica) Доктор Тайга Укрепляющий против выпадения волос на монгольском дубе .

Эффективно восстанавливает волосы по всей длине, наполняет их силой и энергией. Придает мягкость и пышность. 
Укрепляет волосы по всей длине. 
Нормализует обменные процессы и предотвращает ломкость. 
Придает невесомый объем и наполняет жизненной силой. 

Монгольский дуб — могучее дерево тайги. Органический экстракт корня монгольского дуба богат аминокислотами, которые способствуют укреплению и восстановлению структуры волос, препятствуя их истончению. Масло дикого репейника содержит незаменимые  Омега 3-6-9 жирные кислоты, которые питают волосы и наполняют их жизненной силой. Предотвращает ломкость, делая их более крепкими и блестящими.
                                                    Состав:
                    Aqua with infusions of organic quercus robur root extract (органический экстракт корня монгольского дуба), organic arctium lappa root extract/ olea europaea fruit oil (органическое омега-масло дикого репейника), rubus arcticus fruit extractwh (экстракт малины арктической), schizandra chinensis fruit extractfe (экстракт лимонника нанайского), rhododendron adamsii leaf/stem extractfe (экстракт саган-дайля), sophora flavescens root extractwh (экстракт софоры хакасской), organic salvia officinalis leaf extract (органический экстракт шалфея сибирского), organic scutellaria baicalensis root extract (органический экстракт шлемника байкальского), organic rhodiola rosea root extract (органический экстракт родиолы розовой); sodium coco-sulfate, cocamidopropyl betaine, lauryl glucoside, pineamidopropyl betaineps, hippophae rhamnoidesamidopropyl betainehr, sodium chloride, guar hydroxypropyltrimonium chloride, niacinamide (витамин pp), cetearyl alcohol, citric acid, benzyl alcohol, benzoic acid, sorbic acid, wood tar (деготь), parfum, limonene, linalool.


                                                    Показания к применению:
                    Для всех типов волос
                                                                                    Противопоказания:
                    Индивидуальная непереносимость компонентов.
                                                    Побочные действия:
                    Информация отсутствует.
                                                    Способ приготовления или применения:
                    Нанести шампунь на влажные волосы, вспенить массирующими движениями, подержать 1-2 минуты, смыть водой. При необходимости повторить процедуру.
                                                                    Условия хранения:
                    Хранить при комнатной температуре.",https://xn--n1aalg.xn--80ae2aeeogi5fxc.xn--p1ai/s/gi/prod/00/00/28/68/10/shampun--bio-natura-siberika-natura-siberica-doktor-tayga-ukreplyayuschiy-600x600.JPG,yes,Натура Сиберика ООО,283,1727424,Шампунь -био Натура Сиберика (Natura Siberica) Доктор Тайга Укрепляющий,0,https://monastirev.ru/offer/vladivostok/1110145848/shampun-bio-natura-siberika-natura-siberica-doktor-taiga-ukrepliaiushchii
Органик Шоп (Organic Shop),"Косметика,Для волос,Шампуни","Инструкция по применению
                                    Описание:
                    Аргановый Био-шампунь для волос ""Organic shop"" содержит 100% натуральное органическое марокканское масло арганы интенсивно питает и увлажняет волосы, придает им зеркальный блеск и сияние. 

3D-керамиды легко проникают внутрь волоса и восстанавливают их структуру, предотвращая ломкость и сечение. 
Экстракт жемчуга насыщает волосы минералами и аминокислотами, делая их гладкими и шелковистыми. 
Фито-коллаген проникает в глубь волос, уплотняя их структуру. 
Био масло какао укрепляет структуру волос, придавая им жизненную силу и энергию. 
                                                    Состав:
                    Aqua with infusions of: Organic Argania Spinosa Kernel Oil (Moroccan Argan Oil) (органическое марокканское масло арганы), Mother of Pearl Extract (экстракт жемчуга), Theobroma Cacao Seed Butter (био масло какао); Sodium Coco-Sulfate, Acrylates/Vinyl Neodecanoate Crosspolymer, Cocamidopropyl Betaine, Phospholipids, Sphingolipids (3D-керамиды), Hydrolyzed Wheat Protein (фито-коллаген), Coco-Glucoside, Polyquaternium-7, Silicone Quaternium-18, Tocopherol (витамин E), Retinyl Palmitate (витамин A), Sodium Ascorbyl Phosphate (витамин C), Parfum, Mica, Titanium Dioxide, Sodium Chloride, Trideceth-6, Trideceth-12, Benzyl Alcohol, Kathon, Sodium Hydroxide, Linalool, Hexyl Cinnamal, CI 19140 
                                                    Показания к применению:
                    Шампунь-био для волос. 
                                                                                    Противопоказания:
                    Индивидуальная непереносимость к компонентам.
                                                    Побочные действия:
                    Информация отсутствует.
                                                    Способ приготовления или применения:
                    Нанести шампунь на влажные волосы, массирующими движениями взбить в пену, смыть водой.
                                                                    Условия хранения:
                    Хранить в сухом, защищенном от света месте.",https://xn--n1aalg.xn--80ae2aeeogi5fxc.xn--p1ai/s/gi/prod/00/00/17/11/97/shampun--bio-organik-shop-organic-shop-arganovyy-600x600.JPG,yes,Органик Шоп Рус ООО,269,802154,Шампунь -био Органик Шоп (Organic Shop) Аргановый,0,https://monastirev.ru/offer/vladivostok/1102785541/shampun-bio-organik-shop-organic-shop-arganovyi
