product>>brand,product>>category,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>sku,product>>url,product>>variations
Adidas,Men|Shoes,USD,2017-12-04T23:51:12.850Z,"You claim the streets. You create the hype. You turn stadium style into street style with Predator Tango, because you know the show isn't over after the game is played. These soccer shoes have an adidas Primeknit upper and an engineered Sockfit collar. Boost in the midsole gives a responsive, energized feel.",https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dwbdf091d8/zoom/CM7685_01_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw91bd8ea3/zoom/CM7685_02_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dwbafb5e58/zoom/CM7685_03_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw2be867ff/zoom/CM7685_04_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw59dc8531/zoom/CM7685_05_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw23242b74/zoom/CM7685_06_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw4a6c1130/zoom/CM7685_08_hover_frv.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw2741da15/zoom/CM7685_41_detail.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw1645cb9d/zoom/CM7685_42_detail.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw3de6a9bc/zoom/CM7685_43_detail.jpg,Predator Tango 18+ Shoes,CM7685,https://www.adidas.com/us/predator-tango-18-plus-shoes/CM7685.html,Core Black / Black / Infrared
Adidas,Men|Shoes,USD,2017-12-04T23:51:17.112Z,"A collaboration between adidas Originals and artist Daniel Arsham, these shoes merge the world of creative art with sneaker culture. Made with a leather-lined neoprene upper, the shoes pop with metallic details. Boost cushioning offers a feeling of lightweight responsiveness with every step.",https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw9ab43156/zoom/DB1971_01_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dwe6d04d32/zoom/DB1971_02_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw69823a6c/zoom/DB1971_03_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw2a6bbc58/zoom/DB1971_04_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw6356e849/zoom/DB1971_05_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dwbeaefcc0/zoom/DB1971_06_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw4ce59de2/zoom/DB1971_08_hover_frv.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw4aaf6172/zoom/DB1971_41_detail.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dwf3e2413a/zoom/DB1971_42_detail.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dwc684bf99/zoom/DB1971_43_detail.jpg,New York Present Arsham Shoes,DB1971,https://www.adidas.com/us/new-york-present-arsham-shoes/DB1971.html,MULTI|Collegiate Navy
Adidas,Men|Shoes,USD,2017-12-04T23:51:21.374Z,"Lean into your stride, keep pushing forward and don't let up until you cross the finish line. These men's neutral running shoes harness the energy-returning power of Boost cushioning to deliver an energized push-off with each footstrike. An adaptive, foot-hugging adidas Primeknit upper combined with targeted support in the midfoot and heel provides a locked-down fit. A grippy outsole grabs the road and other surfaces with superior traction for a smooth ride.",https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw73006a43/zoom/BB6168_01_standard.jpg|https://s7g10.scene7.com/is/image/adidasMedia?&src=BB6168_product_video_us_720x720|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dweca2d31d/zoom/BB6168_02_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw49885367/zoom/BB6168_03_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw769bf0f8/zoom/BB6168_04_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw2b232417/zoom/BB6168_05_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dwe9d53cba/zoom/BB6168_06_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dwc42b9eb5/zoom/BB6168_07_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw341246fa/zoom/BB6168_08_hover_frv.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw73b40515/zoom/BB6168_41_detail.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dwee4f65b0/zoom/BB6168_42_detail.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw6f55f53a/zoom/BB6168_43_detail.jpg,Ultraboost Shoes,BB6168,https://www.adidas.com/us/ultraboost-shoes/BB6168.html,Running White / Running White / Running White|Grey / Grey / Core Black|Collegiate Navy / Collegiate Navy / Ash Blue|Core Black / Black / Utility Black|Core Black / Core Black / Core Black|Core Black / Core Black / Grey|Dark Burgundy / Dark Burgundy / Core Black|Tech Earth / Tech Earth / Vapour Grey|Grey / Grey / Grey
Adidas,Men|Shoes,USD,2017-12-04T23:51:25.617Z,"With a unique combination of shapes, angles and materials, the NMD_R1 shoes pay homage to adidas innovation. Modern construction and bold heritage details combine to form dynamic sneakers. With responsive Boost underfoot, these men's shoes boast new levels of flexibility, stability and strength.",https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw2f6d1c7e/zoom/CQ2412_01_standard.jpg|https://s7g10.scene7.com/is/image/adidasMedia?&src=CQ2412_product_video_us_720x720|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw72e173a9/zoom/CQ2412_02_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw34d3869d/zoom/CQ2412_03_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw39a8bd0f/zoom/CQ2412_04_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dwb196e530/zoom/CQ2412_05_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dwc1e4ccaf/zoom/CQ2412_06_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw5bf1cc5d/zoom/CQ2412_07_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dwdbec7895/zoom/CQ2412_08_hover_frv.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw9b607799/zoom/CQ2412_41_detail.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw241f480b/zoom/CQ2412_42_detail.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw41593848/zoom/CQ2412_43_detail.jpg,NMD_R1 Shoes,CQ2412,https://www.adidas.com/us/nmd_r1-shoes/CQ2412.html,MULTI|Running White / Running White
Adidas,Men|Shoes,USD,2017-12-04T23:51:30.014Z,"With a unique combination of shapes, angles and materials, the NMD_R1 shoes pay homage to adidas innovation. Modern construction and bold heritage details combine to form dynamic sneakers. With responsive Boost underfoot, these men's shoes boast new levels of flexibility, stability and strength.",https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw0556441e/zoom/CQ2411_01_standard.jpg|https://s7g10.scene7.com/is/image/adidasMedia?&src=CQ2411_product_video_us_720x720|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dwc8e633fa/zoom/CQ2411_02_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw7a79961e/zoom/CQ2411_03_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw47ed7a03/zoom/CQ2411_04_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dwa458692d/zoom/CQ2411_05_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dwf8b9f33f/zoom/CQ2411_06_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw311961d1/zoom/CQ2411_07_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw124dc875/zoom/CQ2411_08_hover_frv.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dwa09af827/zoom/CQ2411_41_detail.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw40ed5ee6/zoom/CQ2411_42_detail.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw063aa121/zoom/CQ2411_43_detail.jpg,NMD_R1 Shoes,CQ2411,https://www.adidas.com/us/nmd_r1-shoes/CQ2411.html,Running White / Running White|MULTI
Adidas,Men|Shoes,USD,2017-12-04T23:51:34.270Z,"Uniting the past and future of adidas, these men's shoes are a stylish blend of authenticity and functionality. The '70s-inspired design is built with a two-way stretch mesh and vintage suede upper, staying true to the archives with vintage appeal. Energy-returning boost™ offers modern comfort that rides on a welded rubber outsole. Serrated 3-Stripes line the sides.",https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw47d78a50/zoom2/BY9733_01_standard.jpg|https://s7g10.scene7.com/is/image/adidasMedia?&src=BY9733_product_video_us_720x720|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw9f10aa02/zoom2/BY9733_02_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dwa7729cb7/zoom2/BY9733_03_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dwcbd98ff4/zoom2/BY9733_04_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw89937018/zoom2/BY9733_05_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dwc08b7227/zoom2/BY9733_41_detail.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw2f94ccef/zoom2/BY9733_42_detail.jpg,Iniki Runner Shoes,BY9733,https://www.adidas.com/us/iniki-runner-shoes/BY9733.html,Yellow / Core Black / Running White|Off White / Blue / Core Red|Collegiate Navy / Running White|Running White / Collegiate Navy|Red / Running White|Collegiate Navy / Running White|Solar Yellow / Core Black / White
Adidas,Men|Shoes,USD,2017-12-04T23:51:39.365Z,"In Hawaiian, the word iniki can mean sharp, piercing gales, like a hurricane. Yet it can also mean to punch or rip, like pangs of love. What better name for these shoes inspired by swift '70s runners? Suede overlays on the toe and heel lend a vintage look to the stretch-mesh upper. A vibrant color palette holds your attention, while serrated 3-Stripes add an iconic edge next to the gold-foil ""INIKI"" text. Energizing boost™ keeps you on the go.",https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dwb7af5cd9/zoom2/BB2093_01_standard.jpg|https://s7g10.scene7.com/is/image/adidasMedia?&src=BB2093_product_video_us_720x720|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw455428e9/zoom2/BB2093_02_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dwb5184046/zoom2/BB2093_03_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dwe14cfa83/zoom2/BB2093_04_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dwe4e88f68/zoom2/BB2093_05_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw9c966d28/zoom2/BB2093_06_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dwf0a363dd/zoom2/BB2093_07_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw2b67d56c/zoom2/BB2093_08_hover_frv.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dwe596440c/zoom2/BB2093_41_detail.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw4940844a/zoom2/BB2093_42_detail.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw8d9eafbf/zoom2/BB2093_43_detail.jpg,Iniki Runner Shoes,BB2093,https://www.adidas.com/us/iniki-runner-shoes/BB2093.html,Off White / Blue / Core Red|Collegiate Navy / Running White|Running White / Collegiate Navy|Red / Running White|Yellow / Core Black / Running White|Collegiate Navy / Running White|Solar Yellow / Core Black / White
Adidas,Men|Shoes,USD,2017-12-04T23:51:44.673Z,"In Hawaiian, the word iniki can mean sharp, piercing gales, like a hurricane. Yet it can also mean to punch or rip, like pangs of love. What better name for these shoes inspired by swift '70s runners? Suede overlays on the toe and heel lend a vintage look to the stretch-mesh upper. These shoes slip on fast thanks to their sock-like structure. boost™ helps energize your step, while a gum rubber outsole offers great traction.",https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw8c3b1128/zoom2/BB2092_01_standard.jpg|https://s7g10.scene7.com/is/image/adidasMedia?&src=BB2092_product_video_us_720x720|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw7df694e8/zoom2/BB2092_02_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw63f72e93/zoom2/BB2092_03_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw974c9d07/zoom2/BB2092_04_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dweca3decd/zoom2/BB2092_05_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw50243908/zoom2/BB2092_06_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw5102b901/zoom2/BB2092_07_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw1da24516/zoom2/BB2092_08_hover_frv.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw3ee17dc7/zoom2/BB2092_41_detail.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw47d76ffe/zoom2/BB2092_42_detail.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dwd0678760/zoom2/BB2092_43_detail.jpg,Iniki Runner Shoes,BB2092,https://www.adidas.com/us/iniki-runner-shoes/BB2092.html,Collegiate Navy / Running White|Off White / Blue / Core Red|Running White / Collegiate Navy|Red / Running White|Yellow / Core Black / Running White|Collegiate Navy / Running White|Solar Yellow / Core Black / White
Adidas,Men|Shoes,USD,2017-12-04T23:51:50.590Z,"In Hawaiian, the word iniki can mean sharp, piercing gales, like a hurricane. Yet it can also mean to punch or rip, like pangs of love. What better name for these shoes inspired by swift '70s runners? Suede overlays on the toe and heel lend a vintage look to the stretch-mesh upper. These shoes slip on fast thanks to their sock-like structure. boost™ helps energize your step, while a gum rubber outsole offers great traction.",https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw5af3ce36/zoom2/BB2091_01_standard.jpg|https://s7g10.scene7.com/is/image/adidasMedia?&src=BB2091_product_video_us_720x720|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw491285c7/zoom2/BB2091_02_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw98e43f48/zoom2/BB2091_03_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw84dd1875/zoom2/BB2091_04_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw2c077b19/zoom2/BB2091_05_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dwf1249fa1/zoom2/BB2091_06_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw304ee2c1/zoom2/BB2091_07_standard.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw53d87c3e/zoom2/BB2091_08_hover_frv.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw1850c267/zoom2/BB2091_41_detail.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw44899b46/zoom2/BB2091_42_detail.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw1405d4a3/zoom2/BB2091_43_detail.jpg,Iniki Runner Shoes,BB2091,https://www.adidas.com/us/iniki-runner-shoes/BB2091.html,Red / Running White|Off White / Blue / Core Red|Collegiate Navy / Running White|Running White / Collegiate Navy|Yellow / Core Black / Running White|Collegiate Navy / Running White|Solar Yellow / Core Black / White
Adidas,Men|Apparel,USD,2017-12-04T23:51:55.040Z,"Whether you're warming up on the ice or cheering from the stands, you'll stay dry and comfortable in this men's moisture-wicking quarter-zip hockey t-shirt. Designed for New York Rangers fans, it features a special-release team crest opposite a Winter Classic logo. It zips from the chest to a stand-up collar.",https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dwdd9cf429/zoom/CU8944_01_laydown.jpg|https://www.adidas.com/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/en_US/dw6bcd7ca6/zoom/CU8944_02_laydown.jpg,Rangers 2018 Winter Classic Zip Tee,CU8944,https://www.adidas.com/us/rangers-2018-winter-classic-zip-tee/CU8944.html,Collegiate Navy
