product>>brand,product>>categories,product>>currency,product>>date,product>>description,product>>images,product>>name,product>>price,product>>sku,product>>url,product>>variations
boss-orange,Shop|Men|Clothing|Coats|Casual,USD,2018-01-19T01:14:35.272Z,"An expertly engineered outerwear option in midweight waxed twill with a stonewashed finish, this technical take on the iconic biker jacket features a contemporary stand collar, zipped cuffs and chunky two-way front zip. It is finished with comfortable bound inner seams and moto-inspired stitching at the shoulders and back panel. Use it to add a statement, masculine finish to off-duty looks.",https://images.hugoboss.com/is/image/boss/hbna50381956_404_21?scl=1|https://images.hugoboss.com/is/image/boss/hbna50381956_404_10?scl=1|https://images.hugoboss.com/is/image/boss/hbna50381956_404_14?scl=1,Waxed Twill Jacket | Ojeeno W,345,50381956,https://www.hugoboss.com/us/waxed-twill-jacket-ojeeno-w/hbna50381956_404.html?cgid=512005,Dark Blue
boss,Shop|Men|Clothing|Sport Coats,USD,2018-01-19T01:14:35.505Z,"Stretch virgin-wool cotton and a partially lined interior adds both weight and breathability to this sport coat. A quarter-lined top assists in a smooth drape, enhancing this coat's broad silhouette in an elegant manner. Wear it with dark pants and sleek dress shoes.",https://images.hugoboss.com/is/image/boss/hbna50384536_410_21?scl=1|https://images.hugoboss.com/is/image/boss/hbna50384536_410_10?scl=1|https://images.hugoboss.com/is/image/boss/hbna50384536_410_14?scl=1|https://images.hugoboss.com/is/image/boss/hbna50384536_410_31?scl=1|https://images.hugoboss.com/is/image/boss/hbna50384536_410_41?scl=1|https://images.hugoboss.com/is/image/boss/hbna50384536_410_42?scl=1,"Melange Wool Silk Blend Sport Coat, Regular Fit | Jestor",795,50384536,https://www.hugoboss.com/us/melange-wool-silk-blend-sport-coat-regular-fit-jestor/hbna50384536_410.html?cgid=512005,Dark Blue
boss-orange,Shop|Men|Clothing|Sweaters & Sweatshirts,USD,2018-01-19T01:14:35.958Z,"Thanks to a lightweight linen construction, this sweater has a heathered design to accommodate its casual profile. Solid ribbed details finish off the look.",https://images.hugoboss.com/is/image/boss/hbna50386289_404_21?scl=1|https://images.hugoboss.com/is/image/boss/hbna50386289_404_10?scl=1|https://images.hugoboss.com/is/image/boss/hbna50386289_404_14?scl=1|https://images.hugoboss.com/is/image/boss/hbna50386289_505_21?scl=1|https://images.hugoboss.com/is/image/boss/hbna50386289_505_10?scl=1|https://images.hugoboss.com/is/image/boss/hbna50386289_505_14?scl=1,Linen Sweater | Kwasirol,155,50386289,https://www.hugoboss.com/us/linen-sweater-kwasirol/hbna50386289_404.html?cgid=512005,Dark Blue|Dark Purple
boss,Shop|Men|Clothing|Pants,USD,2018-01-19T01:14:36.507Z,"Made with versatile luxury in mind, this pant by BOSS is a wardrobe essential for effortless style. Soft virgin wool is constructed with a classic silhouette and tailored with slim legs for a modern profile. A flat front ensures uninterrupted crease folds.",https://images.hugoboss.com/is/image/boss/hbna50385155_429_21?scl=1|https://images.hugoboss.com/is/image/boss/hbna50385155_429_10?scl=1|https://images.hugoboss.com/is/image/boss/hbna50385155_429_14?scl=1|https://images.hugoboss.com/is/image/boss/hbna50385155_429_31?scl=1,"Virgin Wool Dress Pant, Regular Fit | Lightning",245,50385155,https://www.hugoboss.com/us/virgin-wool-dress-pant-regular-fit-lightning/hbna50385155_429.html?cgid=512005,Blue
boss-green,Shop|Men|Clothing|Polo Shirts,USD,2018-01-19T01:14:36.727Z,"Tipped for a modern touch to a timeless essential, this polo shirt is a casual style with a sleek profile. Upgrade your leisurewear by pairing this contemporary piece with elevated jeans or chinos.",https://images.hugoboss.com/is/image/boss/hbna50379343_410_21?scl=1|https://images.hugoboss.com/is/image/boss/hbna50379343_410_10?scl=1|https://images.hugoboss.com/is/image/boss/hbna50379343_410_14?scl=1|https://images.hugoboss.com/is/image/boss/hbna50379343_420_21?scl=1|https://images.hugoboss.com/is/image/boss/hbna50379343_420_10?scl=1|https://images.hugoboss.com/is/image/boss/hbna50379343_420_14?scl=1,"Tipped Cotton Blend Polo Shirt, Slim Fit | PL Tech",125,50379343,https://www.hugoboss.com/us/tipped-cotton-blend-polo-shirt-slim-fit-pl-tech/hbna50379343_410.html?cgid=512005,Dark Blue|Blue
boss-green,Shop|Men|Clothing|Activewear & Swim,USD,2018-01-19T01:14:37.319Z,"With a large-scale reflective logo at the back, this cotton-blend jacket features cuffs with thumb holes for added comfort and warmth. Equal parts protective and modern, this high-performance piece will keep you cozy and dry in premium style while training.",https://images.hugoboss.com/is/image/boss/hbna50379339_410_21?scl=1|https://images.hugoboss.com/is/image/boss/hbna50379339_410_10?scl=1|https://images.hugoboss.com/is/image/boss/hbna50379339_410_14?scl=1,Cotton Blend Sweat Jacket | SL Tech,225,50379339,https://www.hugoboss.com/us/cotton-blend-sweat-jacket-sl-tech-/hbna50379339_410.html?cgid=512005,Dark Blue
boss,Shop|Men|Clothing|Coats|Casual,USD,2018-01-19T01:14:37.715Z,"This reversible jacket is a versatile piece with utilitarian qualities. For a minimalist look, a black shell is highlighted with red tipping. Reverse the jacket for a progressively bold plaid shell. Ample pockets and drawcord adjustments add sporty appeal.",https://images.hugoboss.com/is/image/boss/hbna50378156_623_21?scl=1|https://images.hugoboss.com/is/image/boss/hbna50378156_623_10?scl=1|https://images.hugoboss.com/is/image/boss/hbna50378156_623_14?scl=1|https://images.hugoboss.com/is/image/boss/hbna50378156_623_31?scl=1|https://images.hugoboss.com/is/image/boss/hbna50378156_623_32?scl=1,Nylon Reversible Jacket | Cali,745,50378156,https://www.hugoboss.com/us/nylon-reversible-jacket-cali/hbna50378156_623.html?cgid=512005,Red
boss,Shop|Men|Clothing|Polo Shirts,USD,2018-01-19T01:14:38.162Z,This BOSS polo features soft cotton and contrast details for a modern take on leisurewear. Contrasting cuffs and collar adds a handsome look with a sporty side.,https://images.hugoboss.com/is/image/boss/hbna50379280_623_21?scl=1|https://images.hugoboss.com/is/image/boss/hbna50379280_623_10?scl=1|https://images.hugoboss.com/is/image/boss/hbna50379280_623_14?scl=1|https://images.hugoboss.com/is/image/boss/hbna50379280_623_32?scl=1|https://images.hugoboss.com/is/image/boss/hbna50379280_010_21?scl=1|https://images.hugoboss.com/is/image/boss/hbna50379280_010_10?scl=1|https://images.hugoboss.com/is/image/boss/hbna50379280_010_14?scl=1|https://images.hugoboss.com/is/image/boss/hbna50379280_410_21?scl=1|https://images.hugoboss.com/is/image/boss/hbna50379280_410_10?scl=1|https://images.hugoboss.com/is/image/boss/hbna50379280_410_14?scl=1,"Cotton Polo Shirt, Slim Fit | Phillipson",115,50379280,https://www.hugoboss.com/us/cotton-polo-shirt-slim-fit-phillipson/hbna50379280_623.html?cgid=512005,Red|Charcoal|Dark Blue
boss,Shop|Men|Clothing|Coats,USD,2018-01-19T01:14:39.108Z,"Made with a wool blend with a hint of stretch, this coat features an intricate checked pattern for a contemporary look rooted with history. Designed with a slim silhouette, its minimalist design and bright profile makes an effortless look for statement piece.",https://images.hugoboss.com/is/image/boss/hbna50380708_061_21?scl=1|https://images.hugoboss.com/is/image/boss/hbna50380708_061_10?scl=1|https://images.hugoboss.com/is/image/boss/hbna50380708_061_14?scl=1|https://images.hugoboss.com/is/image/boss/hbna50380708_061_31?scl=1|https://images.hugoboss.com/is/image/boss/hbna50380708_061_32?scl=1,Wool Blend Checked Coat | Shawn,945,50380708,https://www.hugoboss.com/us/wool-blend-checked-coat-shawn/hbna50380708_061.html?cgid=512005,Open Grey
boss,Shop|Men|Clothing|Sweaters & Sweatshirts,USD,2018-01-19T01:14:39.527Z,"This jacket is characterized by a sleek silhouette made for layering, plus a little more. A colorblocked front adds a bold contrast to your outfit.",https://images.hugoboss.com/is/image/boss/hbna50378503_623_21?scl=1|https://images.hugoboss.com/is/image/boss/hbna50378503_623_10?scl=1|https://images.hugoboss.com/is/image/boss/hbna50378503_623_14?scl=1|https://images.hugoboss.com/is/image/boss/hbna50378503_623_32?scl=1,Stretch Cotton Jacket | Soule,245,50378503,https://www.hugoboss.com/us/stretch-cotton-jacket-soule/hbna50378503_623.html?cgid=512005,Red
